rank,title,authors,year,id,status,role,sub_area,provenance,source,citation_count,confidence,url,notes
22,Emergent Coordination in Multi-Agent Language Models,Riedl,2025,2510.05174,candidate,trend,LLM Multi-Agent Frameworks and Coordination,agent-batch:core-frameworks-reasoning,curated-400,0,1.0,,Recent coordination-focused analysis
23,ChatLaw: A Multi-Agent Collaborative Legal Assistant with Knowledge Graph Enhanced Mixture-of-Experts Large Language Model,Cui et al,2023,2306.16092,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:core-frameworks-reasoning,curated-400,0,1.0,,Multi-agent legal assistant with KG/MoE
24,Multi-Agent Consensus Seeking via Large Language Models,Chen et al,2023,2310.20151,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:core-frameworks-reasoning;auto-map:openalex-query,curated-400;openalex:collaboration;openalex:planning;openalex:robot-collaboration;openalex:topology,12,1.0,http://arxiv.org/abs/2310.20151,Consensus-seeking planner for multi-agent settings
25,Self-Adaptive Large Language Model (LLM)-Based Multiagent Systems,Nascimento et al,2023,ACSOS-C 2023,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:core-frameworks-reasoning,curated-400,0,1.0,,Early self-adaptation framing for LLM-MAS
26,G-Designer: Architecting Multi-agent Communication Topologies via Graph Neural Networks,Zhang et al,2024,2410.11782,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:core-frameworks-reasoning;auto-map:openalex-query,curated-400;openalex:topology,1,1.0,http://arxiv.org/abs/2410.11782,Learns communication graph designs
27,Multi-Agent Verification: Scaling Test-Time Compute with Goal Verifiers,Lifshitz et al,2025,OpenReview:H22e93wnMe,candidate,trend,LLM Multi-Agent Frameworks and Coordination,agent-batch:core-frameworks-reasoning,curated-400,0,1.0,,Goal verifiers for test-time scaling
28,Multi-Agent Communication Meets Natural Language: Synergies Between Functional and Structural Language Learning,Lazaridou et al,2020,ACL 2020,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:marl-emergent-classical;local-bib-auto,curated-400;local-bib,0,1.0,,Human-language priors for emergent communication
29,GPT-in-the-Loop: Adaptive Decision-Making for Multiagent Systems,Nascimento et al,2023,2308.10435,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:core-frameworks-reasoning;local-bib-auto,curated-400;local-bib,0,1.0,,Uses GPT inside adaptive MAS control loops
30,MineLand: Simulating Large-Scale Multi-Agent Interactions with Limited Multimodal Senses and Physical Needs,Yu et al,2024,2403.19267,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:core-frameworks-reasoning,curated-400,0,1.0,,Large-scale embodied interaction environment
31,VillagerAgent: A Graph-Based Multi-Agent Framework for Coordinating Complex Task Dependencies in Minecraft,Dong et al,2024,2406.05720,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:core-frameworks-reasoning,curated-400,0,1.0,,Graph-based Minecraft coordination
32,MetaAgents: Simulating Interactions of Human Behaviors for LLM-based Task-Oriented Coordination via Collaborative Generative Agents,Li et al,2023,2310.06500,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:core-frameworks-reasoning,curated-400,0,1.0,,Collaborative generative agents for coordination
33,Unleashing the Emergent Cognitive Synergy in Large Language Models: A Task-Solving Agent through Multi-Persona Self-Collaboration,Wang et al,2023,2307.05300,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:core-frameworks-reasoning,curated-400,0,1.0,,Multi-persona self-collaboration
34,RoCo: Dialectic Multi-Robot Collaboration with Large Language Models,Mandi et al,2023,2307.04738,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:core-frameworks-reasoning;auto-map:openalex-query,curated-400;openalex:collaboration;openalex:planning;openalex:reasoning;openalex:robot-collaboration,118,1.0,https://doi.org/10.1109/icra57147.2024.10610855,Dialectic robot collaboration with LLMs
35,Scalable Multi-Robot Collaboration with Large Language Models: Centralized or Decentralized Systems?,Chen et al,2023,2309.15943,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:core-frameworks-reasoning;auto-map:openalex-query,curated-400;openalex:frameworks;openalex:planning;openalex:robot-collaboration,64,1.0,https://doi.org/10.1109/icra57147.2024.10610676,Centralized/decentralized robot collaboration
36,Learning when to Communicate at Scale in Multiagent Cooperative and Competitive Tasks,Singh et al,2019,1812.09755,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:marl-emergent-classical,curated-400,0,1.0,,IC3Net communication control
37,Co-NavGPT: Multi-Robot Cooperative Visual Semantic Navigation using Large Language Models,Yu et al,2023,2310.07937,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:core-frameworks-reasoning,curated-400,0,1.0,,Multi-robot navigation with LLM planning
38,MAVEN: Multi-Agent Variational Exploration,Mahajan et al,2019,1910.07483,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:marl-emergent-classical,curated-400,0,1.0,,Latent commitment for coordinated exploration
39,QPLEX: Duplex Dueling Multi-Agent Q-Learning,Wang et al,2021,2008.01062,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:marl-emergent-classical,curated-400,0,1.0,,Complete IGM factorization
40,RODE: Learning Roles to Decompose Multi-Agent Tasks,Wang et al,2021,2010.01523,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:marl-emergent-classical,curated-400,0,1.0,,Role-based decomposition and transfer
41,Commitments and Conventions: The Foundation of Coordination in Multi-Agent Systems,Jennings,1993,DOI:10.1017/S0269888900000205,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:marl-emergent-classical,curated-400,0,1.0,,Commitments and conventions for coordination
42,Intrinsic Memory Agents: Heterogeneous Multi-Agent LLM Systems through Structured Contextual Memory,Yuen et al,2025,2508.08997,candidate,trend,LLM Multi-Agent Frameworks and Coordination,local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
43,Mirix: Multi-agent memory system for llm-based agents,Wang et al,2025,2507.07957,candidate,trend,LLM Multi-Agent Frameworks and Coordination,auto-map:openalex-query;local-snowball:1,curated-400;openalex:llm-mas,1,1.0,http://arxiv.org/abs/2507.07957,referenced by local seed corpus
44,"MAgIC: Investigation of Large Language Model Powered Multi-Agent in Cognition, Adaptability, Rationality and Collaboration",Xu et al,2023,2311.08562,candidate,core,LLM Multi-Agent Frameworks and Coordination,auto-map:openalex-query;local-snowball:1,curated-400;openalex:collaboration,6,1.0,https://doi.org/10.18653/v1/2024.emnlp-main.416,referenced by local seed corpus
45,AgentCoord: Coordination Strategies in Multi-Agent LLM Systems,Anderson et al,2024,2404.11943,candidate,core,LLM Multi-Agent Frameworks and Coordination,auto-map:openalex-query;local-snowball:1,curated-400;openalex:collaboration,6,1.0,http://arxiv.org/abs/2404.11943,referenced by local seed corpus
46,Emergent Behaviors in Multi-Agent LLM Collaboration,Wang et al,2024,Artificial Intelligence Insights,candidate,core,LLM Multi-Agent Frameworks and Coordination,local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
47,Llm harmony: Multi-agent communication for problem solving,Rasal,2024,2401.01312,candidate,core,LLM Multi-Agent Frameworks and Coordination,local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
48,"MechAgents: Large language model multi-agent collaborations can solve mechanics problems, generate new data, and integrate knowledge",Ni et al,2024,Extreme Mechanics Letters,candidate,core,LLM Multi-Agent Frameworks and Coordination,auto-map:openalex-query;local-snowball:1,curated-400;openalex:collaboration,75,1.0,https://doi.org/10.1016/j.eml.2024.102131,referenced by local seed corpus
49,Towards efficient llm grounding for embodied multi-agent collaboration,Zhang et al,2024,2405.14314,candidate,core,LLM Multi-Agent Frameworks and Coordination,local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
50,MegaAgent: A large-scale autonomous LLM-based multi-agent system without predefined SOPs,Wang et al,2025,Findings of the Association for Computational Linguistics: ACL 2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,auto-map:openalex-query;local-snowball:1,curated-400;openalex:llm-mas,7,1.0,https://doi.org/10.18653/v1/2025.findings-acl.259,referenced by local seed corpus
51,Parallelized Planning-Acting for Efficient LLM-based Multi-Agent Systems,Li et al,2025,2503.03505,candidate,trend,LLM Multi-Agent Frameworks and Coordination,local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
52,Which Agent Causes Task Failures and When? On Automated Failure Attribution of LLM Multi-Agent Systems,Zhang et al,2025,2505.00212,candidate,trend,LLM Multi-Agent Frameworks and Coordination,local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
53,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,Shen et al,2023,2303.17580,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:benchmarks-software-web,curated-400,0,1.0,,Early orchestration of external models as tools
54,TaskMatrix.AI: Completing Tasks by Connecting Foundation Models with Millions of APIs,Liang et al,2023,2303.16434,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:benchmarks-software-web,curated-400,0,1.0,,Large-scale API ecosystem vision for foundation-model agents
55,On the Utility of Learning about Humans for Human-AI Coordination,Carroll et al,2019,1910.05789,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:marl-emergent-classical;auto-map:arxiv-query,arxiv:human-ai-coordination;curated-400,0,1.0,https://arxiv.org/abs/1910.05789,Overcooked human-aware agents
56,Enhancing diagnostic accuracy through multi-agent conversations: Using large language models to mitigate cognitive bias,Ke et al,2024,2401.14589,candidate,core,LLM Multi-Agent Frameworks and Coordination,auto-map:openalex-query;local-snowball:1,curated-400;openalex:medical-agents,5,1.0,http://arxiv.org/abs/2401.14589,referenced by local seed corpus
57,LLM-based Multi-Agent Systems: Techniques and Business Perspectives,Yang et al,2024,2411.14033,candidate,core,LLM Multi-Agent Frameworks and Coordination,auto-map:openalex-query;local-snowball:1,curated-400;openalex:llm-mas,3,1.0,http://arxiv.org/abs/2411.14033,referenced by local seed corpus
58,Optima: Optimizing Effectiveness and Efficiency for LLM-Based Multi-Agent System,Chen et al,2024,2410.08115,candidate,core,LLM Multi-Agent Frameworks and Coordination,auto-map:openalex-query;local-snowball:1,curated-400;openalex:llm-mas,6,1.0,https://doi.org/10.18653/v1/2025.findings-acl.601,referenced by local seed corpus
59,Synthesizing post-training data for llms through multi-agent simulation,Tang et al,2024,2410.14251,candidate,core,LLM Multi-Agent Frameworks and Coordination,local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
60,Cooperative Multi-agent Bandits: Distributed Algorithms with Optimal Individual Regret and Constant Communication Costs,Yang et al,2023,2308.04314,candidate,core,LLM Multi-Agent Frameworks and Coordination,local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
61,DesignGPT: Multi-Agent Collaboration in Design,Ding et al,2023,2311.11591,candidate,core,LLM Multi-Agent Frameworks and Coordination,local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
62,Learning multi-agent communication from graph modeling perspective,Hu et al,2024,2405.08550,candidate,core,LLM Multi-Agent Frameworks and Coordination,local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
63,LongAgent: Scaling Language Models to 128k Context through Multi-Agent Collaboration,Zhao et al,2024,EMNLP,candidate,core,LLM Multi-Agent Frameworks and Coordination,local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
64,Multi-agent design: Optimizing agents with better prompts and topologies,Zhou et al,2025,2502.02533,candidate,trend,LLM Multi-Agent Frameworks and Coordination,local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
65,MAS-ProVe: Understanding the Process Verification of Multi-Agent Systems,Venkataramani et al,2026,2602.03053,candidate,trend,LLM Multi-Agent Frameworks and Coordination,local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
66,ReAct: Synergizing Reasoning and Acting in Language Models,Yao et al,2022,2210.03629,seed,bridge,"Debate, Reasoning, and Aggregation",seed,curated-400,0,1.0,,bridge; Reasoning/action foundation
67,Encouraging Divergent Thinking in Large Language Models through Multi-Agent Debate,Liang et al,2023,2305.19118,seed,core,"Debate, Reasoning, and Aggregation",auto-map:openalex-query;local-bib-auto;seed,curated-400;local-bib;openalex:debate;openalex:frameworks;openalex:minecraft-agents;openalex:reasoning,174,1.0,https://doi.org/10.18653/v1/2024.emnlp-main.992,core; Debate & reasoning
68,Improving Factuality and Reasoning through Multiagent Debate,Du et al,2023,2305.14325,seed,core,"Debate, Reasoning, and Aggregation",seed,curated-400,0,1.0,,core; Debate & reasoning
69,Mixture-of-Agents Enhances Large Language Model Capabilities,Wang et al,2024,2406.04692,seed,core,"Debate, Reasoning, and Aggregation",seed,curated-400,0,1.0,,core; Model aggregation/ensembles
70,More Agents Is All You Need,Li et al,2024,2402.05120,seed,core,"Debate, Reasoning, and Aggregation",seed,curated-400,0,1.0,,core; Scaling by agent sampling
71,MIRROR: Multi-agent Intra- and Inter-Reflection for Optimized Reasoning in Tool Learning,Guo et al,2025,2505.20670,seed,trend,"Debate, Reasoning, and Aggregation",seed,curated-400,0,1.0,,trend; Multi-agent reflection/tool use
72,Two Heads are Better Than One: Test-time Scaling of Multi-agent Collaborative Reasoning,Jin et al,2025,2504.09772,seed,trend,"Debate, Reasoning, and Aggregation",auto-map:arxiv-query;seed,arxiv:reasoning;curated-400,0,1.0,https://arxiv.org/abs/2504.09772,trend; Test-time multi-agent scaling
73,MemMA: Coordinating Memory Cycle through Multi-Agent Reasoning,Lin et al,2026,2603.18718,seed,core,"Debate, Reasoning, and Aggregation",auto-map:arxiv-query;seed,arxiv:reasoning;curated-400,0,1.0,https://arxiv.org/abs/2603.18718,core; Memory coordination
74,Single-Agent LLMs Outperform Multi-Agent Systems on Multi-Hop Reasoning,Tran et al,2026,2604.02460,seed,core,"Debate, Reasoning, and Aggregation",seed,curated-400,0,1.0,,core; Single vs. multi-agent reasoning
75,Should We Be Going MAD? A Look at Multi-Agent Debate Strategies for LLMs,Smit et al,2023,2311.17371,candidate,core,"Debate, Reasoning, and Aggregation",agent-batch:core-frameworks-reasoning;auto-map:openalex-query,curated-400;openalex:debate,4,1.0,http://arxiv.org/abs/2311.17371,Compares debate design strategies
76,"CoMM: Collaborative Multi-Agent, Multi-Reasoning-Path Prompting for Complex Problem Solving",Chen et al,2024,2404.17729,candidate,core,"Debate, Reasoning, and Aggregation",agent-batch:core-frameworks-reasoning;auto-map:openalex-query,curated-400;openalex:reasoning,13,1.0,https://doi.org/10.18653/v1/2024.findings-naacl.112,Combines multiple agent reasoning paths
77,MACM: Utilizing a Multi-Agent System for Condition Mining in Solving Complex Mathematical Problems,Lei et al,2024,NeurIPS 2024,candidate,core,"Debate, Reasoning, and Aggregation",agent-batch:core-frameworks-reasoning,curated-400,0,1.0,,Multi-agent condition mining for math
78,Examining Inter-Consistency of Large Language Models Collaboration: An In-depth Analysis via Debate,Xiong et al,2023,2305.11595,candidate,core,"Debate, Reasoning, and Aggregation",agent-batch:core-frameworks-reasoning;local-bib-auto,curated-400;local-bib,0,1.0,,Studies consensus and imbalance in debate
79,ART: Automatic Multi-Step Reasoning and Tool-Use for Large Language Models,Paranjape et al,2023,2303.09014,candidate,core,"Debate, Reasoning, and Aggregation",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Automatic retrieval and use of tool-augmented reasoning programs
80,Chameleon: Plug-and-Play Compositional Reasoning with Large Language Models,Lu et al,2023,2304.09842,candidate,core,"Debate, Reasoning, and Aggregation",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Plug-and-play tools/modules for compositional reasoning
81,"ChatLLM Network: More Brains, More Intelligence",Hao et al,2023,2304.12998,candidate,core,"Debate, Reasoning, and Aggregation",agent-batch:core-frameworks-reasoning,curated-400,0,1.0,,Early networked LLM collaboration idea
82,LLM-Blender: Ensembling Large Language Models with Pairwise Ranking and Generative Fusion,Jiang et al,2023,10.18653/v1/2023.acl-long.792,candidate,core,"Debate, Reasoning, and Aggregation",agent-batch:core-frameworks-reasoning,curated-400,0,1.0,,Pairwise ranking plus generative fusion
83,ReConcile: Round-Table Conference Improves Reasoning via Consensus among Diverse LLMs,Chen et al,2023,2309.13007,candidate,core,"Debate, Reasoning, and Aggregation",agent-batch:core-frameworks-reasoning;auto-map:openalex-query,curated-400;openalex:debate;openalex:reasoning,34,1.0,https://doi.org/10.18653/v1/2024.acl-long.381,Round-table consensus among diverse models
84,Wider and Deeper LLM Networks Are Fairer LLM Evaluators,Zhang et al,2023,2308.01862,candidate,core,"Debate, Reasoning, and Aggregation",agent-batch:core-frameworks-reasoning,curated-400,0,1.0,,Multi-model evaluator network
85,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,Besta et al,2024,10.1609/aaai.v38i16.29720,watchlist,core,"Debate, Reasoning, and Aggregation",agent-batch:core-frameworks-reasoning,curated-400,0,1.0,,Bridge item for graph-structured reasoning
86,Debate or Vote: Which Yields Better Decisions in Multi-Agent Large Language Models?,Choi et al,2025,2508.17536,candidate,trend,"Debate, Reasoning, and Aggregation",auto-map:arxiv-query;local-snowball:1,arxiv:debate;curated-400,0,1.0,https://arxiv.org/abs/2508.17536,referenced by local seed corpus
87,Single-agent vs. multi-agent LLM strategies for automated student reflection assessment,Li et al,2025,Pacific-Asia Conference on Knowledge Discovery and Data Mining,candidate,trend,"Debate, Reasoning, and Aggregation",local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
88,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,Sun et al,2023,2310.00280,candidate,core,"Debate, Reasoning, and Aggregation",agent-batch:core-frameworks-reasoning,curated-400,0,1.0,,Collaboration across multiple models
89,"MRKL Systems: A Modular, Neuro-Symbolic Architecture that Combines Large Language Models, External Knowledge Sources and Discrete Reasoning",Karpas et al,2022,2205.00445,candidate,core,"Debate, Reasoning, and Aggregation",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Pre-agent neuro-symbolic/tool-router architecture
90,ViperGPT: Visual Inference via Python Execution for Reasoning,Suris et al,2023,2303.08128,candidate,core,"Debate, Reasoning, and Aggregation",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Uses generated Python to compose visual tools
91,Enabling Synergistic Knowledge Sharing and Reasoning in Large Language Models with Collaborative Multi-Agents,Das et al,2023,2023 IEEE 9th International Conference on Collaboration and Internet Computing (CIC),candidate,core,"Debate, Reasoning, and Aggregation",local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
92,Confidence Calibration and Rationalization for LLMs via Multi-Agent Deliberation,Yang et al,2024,2404.09127,candidate,core,"Debate, Reasoning, and Aggregation",local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
93,DebateGPT: Fine-tuning Large Language Models with Multi-agent Debate Supervision,Subramaniam et al,2024,unknown,watchlist,core,"Debate, Reasoning, and Aggregation",local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus; identifier unresolved
94,Improving LLM Reasoning with Multi-Agent Tree-of-Thought Validator Agent,Haji et al,2024,2409.11527,candidate,core,"Debate, Reasoning, and Aggregation",auto-map:arxiv-query;local-snowball:1,arxiv:reasoning;curated-400,0,1.0,https://arxiv.org/abs/2409.11527,referenced by local seed corpus
95,Malt: Improving reasoning with multi-agent llm training,Motwani et al,2024,2412.01928,candidate,core,"Debate, Reasoning, and Aggregation",auto-map:openalex-query;local-snowball:1,curated-400;openalex:reasoning,3,1.0,http://arxiv.org/abs/2412.01928,referenced by local seed corpus
96,Rethinking the Bounds of LLM Reasoning: Are Multi-Agent Discussions the Key?,Wang et al,2024,Annual Meeting of the Association for Computational Linguistics (ACL),candidate,core,"Debate, Reasoning, and Aggregation",auto-map:openalex-query;local-snowball:1,curated-400;openalex:reasoning,26,1.0,https://doi.org/10.18653/v1/2024.acl-long.331,referenced by local seed corpus
97,Let models speak ciphers: Multiagent debate through embeddings,Pham et al,2023,2310.06272,candidate,core,"Debate, Reasoning, and Aggregation",local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
98,Improving Multi-Agent Debate with Sparse Communication Topology,Li et al,2024,EMNLP Findings,candidate,core,"Debate, Reasoning, and Aggregation",auto-map:openalex-query;local-bib-auto;local-snowball:1,curated-400;local-bib;openalex:debate,7,1.0,https://doi.org/10.18653/v1/2024.findings-emnlp.427,referenced by local seed corpus
99,Learning to Break: Knowledge-Enhanced Reasoning in Multi-Agent Debate System,Wang et al,2024,2312.04854,candidate,core,"Debate, Reasoning, and Aggregation",local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
100,Materealize: a multi-agent deliberation system for end-to-end material design and synthesis,Kim et al,2026,2601.15743,candidate,trend,"Debate, Reasoning, and Aggregation",local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
101,MemGPT: Towards LLMs as Operating Systems,Packer et al,2023,2310.08560,seed,bridge,Agent Foundations and Infrastructure,seed,curated-400,0,1.0,,bridge; Agent memory architecture
102,GPTSwarm: Language Agents as Optimizable Graphs,Zhuge et al,2024,2402.16823,seed,core,Agent Foundations and Infrastructure,seed,curated-400,0,1.0,,core; Agent graph optimization
103,A-MEM: Agentic Memory for LLM Agents,Xu et al,2025,2502.12110,seed,bridge,Agent Foundations and Infrastructure,seed,curated-400,0,1.0,,bridge; Agent memory
104,AutoAgent: A Fully-Automated and Zero-Code Framework for LLM Agents,Tang et al,2025,2502.05957,seed,trend,Agent Foundations and Infrastructure,seed,curated-400,0,1.0,,trend; Agent framework automation
105,Adapting LLM Agents Through Communication,Wang et al,2023,2310.01444,candidate,bridge,Agent Foundations and Infrastructure,agent-batch:core-frameworks-reasoning,curated-400,0,1.0,,Agent adaptation through message exchange
106,Exploring Collaboration Mechanisms for LLM Agents: A Social Psychology View,Zhang et al,2023,2310.02124,candidate,bridge,Agent Foundations and Infrastructure,agent-batch:core-frameworks-reasoning;auto-map:arxiv-query;auto-map:openalex-query;local-bib-auto,arxiv:society;curated-400;local-bib;openalex:collaboration;openalex:debate,9,1.0,https://arxiv.org/abs/2310.02124,Social-psychology lens on collaboration patterns
107,AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases,Chen et al,2024,2407.12784,candidate,bridge,Agent Foundations and Infrastructure,agent-batch:benchmarks-software-web,curated-400,0,1.0,,Red-teaming benchmark for memory and knowledge-base poisoning
108,Building Cooperative Embodied Agents Modularly with Large Language Models,Zhang et al,2023,2307.02485,candidate,bridge,Agent Foundations and Infrastructure,agent-batch:core-frameworks-reasoning;auto-map:arxiv-query;auto-map:openalex-query,arxiv:language-agents;curated-400;openalex:emergent-communication;openalex:reasoning,37,1.0,https://arxiv.org/abs/2307.02485,Modular cooperative embodied agents
