rank,title,authors,year,id,status,role,sub_area,source,citation_count,confidence,url,arxiv_id,artifact_path,pdf_url,pdf_path,pdf_status,pdf_bytes,pdf_error,source_url,source_path,source_status,source_error,removal_reason,review_confidence
265,Development of a Large Language Model-based Multi-Agent Clinical Decision Support System for KTAS-Based Triage and Treatment Planning in Emergency Departments,Han & Choi,2024,2408.07531,candidate,trend,Scientific and Domain Agents,curated-400;openalex:planning,2,1.0,http://arxiv.org/abs/2408.07531,2408.07531,papers_extra/multi-agent-triaged/0265_2408.07531,https://arxiv.org/pdf/2408.07531.pdf,papers_extra/multi-agent-triaged/0265_2408.07531/paper.pdf,present,765079,,https://arxiv.org/e-print/2408.07531,papers_extra/multi-agent-triaged/0265_2408.07531/source,present,,Small simulated ED triage study with one physician evaluator and weak statistics for broad clinical claims.,4
266,KG4Diagnosis: A Hierarchical Multi-Agent LLM Framework with Knowledge Graph Enhancement for Medical Diagnosis,Zuo et al,2024,2412.16833,candidate,trend,Scientific and Domain Agents,curated-400;openalex:frameworks;openalex:medical-agents,9,1.0,http://arxiv.org/abs/2412.16833,2412.16833,papers_extra/multi-agent-triaged/0266_2412.16833,https://arxiv.org/pdf/2412.16833.pdf,papers_extra/multi-agent-triaged/0266_2412.16833/paper.pdf,present,36445811,,https://arxiv.org/e-print/2412.16833,papers_extra/multi-agent-triaged/0266_2412.16833/source,present,,System proposal; benchmark/training/evaluation explicitly left as future work.,5
267,TradingGPT: Multi-Agent System with Layered Memory and Distinct Characters for Enhanced Financial Trading Performance,Li et al,2023,2309.03736,candidate,trend,Scientific and Domain Agents,curated-400;openalex:debate;openalex:finance-agents,10,1.0,http://arxiv.org/abs/2309.03736,2309.03736,papers_extra/multi-agent-triaged/0267_2309.03736,https://arxiv.org/pdf/2309.03736.pdf,papers_extra/multi-agent-triaged/0267_2309.03736/paper.pdf,present,2148831,,https://arxiv.org/e-print/2309.03736,papers_extra/multi-agent-triaged/0267_2309.03736/source,present,,TradingGPT draft says prompt design is current stage and ablations are future; no actual trading evaluation.,5
275,Large Language Models to Accelerate Organic Chemistry Synthesis,Zhang et al,2025,DOI:10.1038/s42256-025-01066-y,candidate,trend,Scientific and Domain Agents,curated-400,0,1.0,,,,,,unresolved,,,,,unavailable,,Credible chemistry LLM paper but metadata and quick lookup indicate a fine-tuned chemistry assistant/model for synthesis rather than a multi-agent system or coordination study.,4
279,A Sober Look at LLMs for Material Discovery: Are They Actually Good for Bayesian Optimization Over Molecules?,Kristiadi et al,2024,2402.05015,candidate,trend,Scientific and Domain Agents,curated-400,0,1.0,,2402.05015,papers_extra/multi-agent-triaged/0279_2402.05015,https://arxiv.org/pdf/2402.05015.pdf,papers_extra/multi-agent-triaged/0279_2402.05015/paper.pdf,present,1460707,,https://arxiv.org/e-print/2402.05015,papers_extra/multi-agent-triaged/0279_2402.05015/source,present,,"False positive for this map: careful LLM/materials Bayesian-optimization study, but no agent or multi-agent mechanism and weak bridge value for LLM-driven MAS literature.",4
286,A Multi-Agent LLM Defense Pipeline Against Prompt Injection Attacks,Hossain et al,2025,2509.14285,watchlist,bridge,"Safety, Security, and Reliability",curated-400,0,1.0,,2509.14285,papers_extra/multi-agent-triaged/0286_2509.14285,https://arxiv.org/pdf/2509.14285.pdf,papers_extra/multi-agent-triaged/0286_2509.14285/paper.pdf,present,322579,,https://arxiv.org/e-print/2509.14285,papers_extra/multi-agent-triaged/0286_2509.14285/source,present,,Small handcrafted prompt-injection defense study; reports perfect mitigation on 55 attacks/400 instances without robust agent benchmarks or stress tests.,4
299,"OpenClaw PRISM: A Zero-Fork, Defense-in-Depth Runtime Security Layer for Tool-Augmented LLM Agents",Li,2026,2603.11853,watchlist,bridge,"Safety, Security, and Reliability",arxiv:prompt-injection;curated-400,0,1.0,https://arxiv.org/abs/2603.11853,2603.11853,papers_extra/multi-agent-triaged/0299_2603.11853,https://arxiv.org/pdf/2603.11853.pdf,papers_extra/multi-agent-triaged/0299_2603.11853/paper.pdf,present,515015,,https://arxiv.org/e-print/2603.11853,papers_extra/multi-agent-triaged/0299_2603.11853/source,present,,OpenClaw-specific engineering draft with preliminary hand-authored benchmark; final end-to-end evaluation still future.,4
300,Alignment Faking in Large Language Models,Greenblatt et al,2024,2412.14093,candidate,bridge,"Safety, Security, and Reliability",curated-400,0,1.0,,2412.14093,papers_extra/multi-agent-triaged/0300_2412.14093,https://arxiv.org/pdf/2412.14093.pdf,papers_extra/multi-agent-triaged/0300_2412.14093/paper.pdf,present,3236586,,https://arxiv.org/e-print/2412.14093,papers_extra/multi-agent-triaged/0300_2412.14093/source,present,,"High-quality model-safety paper, but it studies single-model alignment faking rather than agent or multi-agent mechanisms; weak bridge value for this corpus.",4
302,Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training,Hubinger et al,2024,2401.05566,candidate,bridge,"Safety, Security, and Reliability",curated-400,0,1.0,,2401.05566,papers_extra/multi-agent-triaged/0302_2401.05566,https://arxiv.org/pdf/2401.05566.pdf,papers_extra/multi-agent-triaged/0302_2401.05566/paper.pdf,present,3696766,,https://arxiv.org/e-print/2401.05566,papers_extra/multi-agent-triaged/0302_2401.05566/source,present,,Backdoored/deceptive LLM training study despite the title; no LLM-agent or multi-agent system contribution.,4
306,Model Evaluation for Extreme Risks,Shevlane et al,2023,2305.15324,candidate,bridge,"Safety, Security, and Reliability",curated-400,0,1.0,,2305.15324,papers_extra/multi-agent-triaged/0306_2305.15324,https://arxiv.org/pdf/2305.15324.pdf,papers_extra/multi-agent-triaged/0306_2305.15324/paper.pdf,present,803928,,https://arxiv.org/e-print/2305.15324,papers_extra/multi-agent-triaged/0306_2305.15324/source,present,,Broad extreme-risk evaluation framework/policy paper with no agent or MAS technical contribution or empirical multi-agent evidence.,4
312,Frontier AI Regulation: Managing Emerging Risks to Public Safety,Anderljung et al,2023,2307.03718,candidate,bridge,"Safety, Security, and Reliability",curated-400,0,1.0,,2307.03718,papers_extra/multi-agent-triaged/0312_2307.03718,https://arxiv.org/pdf/2307.03718.pdf,papers_extra/multi-agent-triaged/0312_2307.03718/paper.pdf,present,1509008,,https://arxiv.org/e-print/2307.03718,papers_extra/multi-agent-triaged/0312_2307.03718/source,present,,"Governance/policy paper, not LLM-agent or multi-agent research.",5
313,Dynamic Safety Cases for Frontier AI,Carlan et al,2024,2412.17618,candidate,bridge,"Safety, Security, and Reliability",curated-400,0,1.0,,2412.17618,papers_extra/multi-agent-triaged/0313_2412.17618,https://arxiv.org/pdf/2412.17618.pdf,papers_extra/multi-agent-triaged/0313_2412.17618/paper.pdf,present,6377086,,https://arxiv.org/e-print/2412.17618,papers_extra/multi-agent-triaged/0313_2412.17618/source,present,,Safety-case management/governance proposal with no agent/MAS technical or empirical contribution.,4
314,Safety Cases for Frontier AI,Buhl et al,2024,2410.21572,candidate,bridge,"Safety, Security, and Reliability",curated-400,0,1.0,,2410.21572,papers_extra/multi-agent-triaged/0314_2410.21572,https://arxiv.org/pdf/2410.21572.pdf,papers_extra/multi-agent-triaged/0314_2410.21572/paper.pdf,present,823413,,https://arxiv.org/e-print/2410.21572,papers_extra/multi-agent-triaged/0314_2410.21572/source,present,,Broad governance argument paper; no agent/MAS specificity or benchmark contribution.,4
361,Population Based Training of Neural Networks,Jaderberg et al,2017,1711.09846,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400,0,1.0,,1711.09846,papers_extra/multi-agent-triaged/0361_1711.09846,https://arxiv.org/pdf/1711.09846.pdf,papers_extra/multi-agent-triaged/0361_1711.09846/paper.pdf,present,2370925,,https://arxiv.org/e-print/1711.09846,papers_extra/multi-agent-triaged/0361_1711.09846/source,present,,"High-quality population-based optimization paper, but not LLM-driven or multi-agent-system research; weak anchor value for this corpus.",4
376,LLMs Working in Harmony: A Survey on the Technological Aspects of Building Effective LLM-Based Multi Agent Systems,Aratchige & Ilmini,2025,2504.01963,candidate,survey,Surveys and Taxonomies,arxiv:surveys;curated-400;openalex:llm-mas-surveys;openalex:surveys,1,1.0,https://arxiv.org/abs/2504.01963,2504.01963,papers_extra/multi-agent-triaged/0376_2504.01963,https://arxiv.org/pdf/2504.01963.pdf,papers_extra/multi-agent-triaged/0376_2504.01963/paper.pdf,present,195656,,https://arxiv.org/e-print/2504.01963,papers_extra/multi-agent-triaged/0376_2504.01963/source,present,,"Generic low-signal LLM-MAS survey, redundant with stronger survey rows.",4
402,Agentic AI Project Manager: Multi-Agent Orchestration with Local LLMs,Aryan Kamble,2026,https://doi.org/10.5281/zenodo.18786200,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:orchestration,0,0.92,https://openalex.org/W7131706351,,,,,unresolved,,,,,unavailable,,Zenodo/OpenAlex-only 2026 project artifact with zero citations and broad implementation claims around CrewAI/local models; obvious low-rigor corpus noise.,4
412,MatPilot: an LLM-enabled AI Materials Scientist under the Framework of Human-Machine Collaboration,"Ni, Ziqi, Li, Yahao, Hu, Kaijia et al",2024,2411.08063,candidate,core,LLM Multi-Agent Frameworks and Coordination,openalex:ai-scientist;openalex:scientific-agents,5,0.92,http://arxiv.org/abs/2411.08063,2411.08063,papers_extra/multi-agent-triaged/0412_2411.08063,https://arxiv.org/pdf/2411.08063.pdf,papers_extra/multi-agent-triaged/0412_2411.08063/paper.pdf,present,757006,,https://arxiv.org/e-print/2411.08063,papers_extra/multi-agent-triaged/0412_2411.08063/source,present,,Materials-scientist framework/demo with broad AI-scientist claims but no rigorous task benchmark or comparative multi-agent evaluation.,4
415,MIND: Towards Immersive Psychological Healing with Multi-agent Inner Dialogue,"Chen, Yujia, Li, Changsong, Wang, Yiming et al",2025,2502.19860,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:society,2,0.92,http://arxiv.org/abs/2502.19860,2502.19860,papers_extra/multi-agent-triaged/0415_2502.19860,https://arxiv.org/pdf/2502.19860.pdf,papers_extra/multi-agent-triaged/0415_2502.19860/paper.pdf,present,2889617,,https://arxiv.org/e-print/2502.19860,papers_extra/multi-agent-triaged/0415_2502.19860/source,present,,High-stakes mental-health claims rest on a tiny human experiment appendix with weak controls.,4
416,Navigating Complexity: Orchestrated Problem Solving with Multi-Agent LLMs,"Rasal, Sumedh, Hauer, E. J.",2024,2402.16713,candidate,core,LLM Multi-Agent Frameworks and Coordination,openalex:orchestration,2,0.92,http://arxiv.org/abs/2402.16713,2402.16713,papers_extra/multi-agent-triaged/0416_2402.16713,https://arxiv.org/pdf/2402.16713.pdf,papers_extra/multi-agent-triaged/0416_2402.16713/paper.pdf,present,106054,,https://arxiv.org/e-print/2402.16713,papers_extra/multi-agent-triaged/0416_2402.16713/source,present,,Thin orchestration proposal/demo with toy examples and weak quantitative support for broad claims.,5
434,A Decision-Language Model (DLM) for Dynamic Restless Multi-Armed Bandit Tasks in Public Health,"Behari, Nikhil, Zhang, Edwin, Zhao, Yunfan et al",2024,2402.14807,candidate,core,LLM Multi-Agent Frameworks and Coordination,openalex:robot-collaboration,3,0.92,http://arxiv.org/abs/2402.14807,2402.14807,papers_extra/multi-agent-triaged/0434_2402.14807,https://arxiv.org/pdf/2402.14807.pdf,papers_extra/multi-agent-triaged/0434_2402.14807/paper.pdf,present,1563166,,https://arxiv.org/e-print/2402.14807,papers_extra/multi-agent-triaged/0434_2402.14807/source,present,,"False positive: LLM planner for RMAB/public-health reward tuning, not LLM-MAS with strong bridge value.",4
442,AI4Reading: Chinese Audiobook Interpretation System Based on Multi-Agent Collaboration,Minjiang Huang et al,2025,2512.23300,candidate,trend,LLM Multi-Agent Frameworks and Coordination,arxiv:collaboration,0,0.8,https://arxiv.org/abs/2512.23300,2512.23300,papers_extra/multi-agent-triaged/0442_2512.23300,https://arxiv.org/pdf/2512.23300.pdf,papers_extra/multi-agent-triaged/0442_2512.23300/paper.pdf,present,2750610,,https://arxiv.org/e-print/2512.23300,papers_extra/multi-agent-triaged/0442_2512.23300/source,present,,Niche audiobook-generation workflow; multi-agent framing is role-prompt plumbing with weak evaluation.,4
443,"Multi-Agent LLM Orchestration Achieves Deterministic, High-Quality Decision Support for Incident Response","Drammeh, Philip",2025,2511.15755,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:orchestration,0,0.8,http://arxiv.org/abs/2511.15755,2511.15755,papers_extra/multi-agent-triaged/0443_2511.15755,https://arxiv.org/pdf/2511.15755.pdf,papers_extra/multi-agent-triaged/0443_2511.15755/paper.pdf,present,308877,,https://arxiv.org/e-print/2511.15755,papers_extra/multi-agent-triaged/0443_2511.15755/source,present,,"Single incident scenario, TinyLlama-only, weak metric/baseline, but production-grade claims.",5
456,Autonomous network monitoring using LLMs and multi-agent systems,Oluwatosin Oladayo Aramide,2024,https://doi.org/10.30574/wjaets.2024.13.2.0639,candidate,core,LLM Multi-Agent Frameworks and Coordination,openalex:llm-mas,6,0.92,https://doi.org/10.30574/wjaets.2024.13.2.0639,,,,,unresolved,,,,,unavailable,,Weak venue signal and inspected text is broad and claim-heavy with little apparent rigorous LLM multi-agent evaluation; obvious low-quality corpus noise for this map.,4
459,Integrity Beyond the Trust Boundary — External Differential Monitoring in LLM Multi-Agent Systems,"Seki, Takayyuki",2026,https://doi.org/10.5281/zenodo.19329992,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:llm-mas,4,0.89,https://doi.org/10.5281/zenodo.19329992,,,,,unresolved,,,,,unavailable,,Zenodo-only record with no discoverable venue trail or reliable metadata from quick lookup; security framing is relevant but artifact signal is too weak for this corpus pass.,3
464,LLM-Based multi-agent system for individual investment in energy and natural resources,"Alexander Zaleski, Jaroslaw A. Chudziak",2025,https://doi.org/10.24425/ijet.2025.153538,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:llm-mas,3,0.87,https://doi.org/10.24425/ijet.2025.153538,,,,,unresolved,,,,,unavailable,,Short narrow investment-advisory platform paper with weak evidence of generalizable multi-agent research contribution; likely demo-level application noise.,3
482,Multi-Agent Systems for Robotic Autonomy with LLMs,"Chen, Junhong, Yang, Ziqi, Xu, Haoyuan G et al",2025,2505.05762,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:llm-mas,1,0.81,http://arxiv.org/abs/2505.05762,2505.05762,papers_extra/multi-agent-triaged/0482_2505.05762,https://arxiv.org/pdf/2505.05762.pdf,papers_extra/multi-agent-triaged/0482_2505.05762/paper.pdf,present,1070239,,https://arxiv.org/e-print/2505.05762,papers_extra/multi-agent-triaged/0482_2505.05762/source,present,,Toy coordinate tasks and LLM-generated RL scripts; no real robotics validation or MAS mechanism isolation.,4
494,Communication Structure Adaptive Control and Collaborative Optimization for Multi-Agent Systems Based on Deepseek Large Language Model,Yi Wang,2025,https://doi.org/10.2139/ssrn.5193257,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:topology,0,0.75,https://doi.org/10.2139/ssrn.5193257,,,,,unresolved,,,,,unavailable,,SSRN single-author preprint with zero citations and no references in Crossref; framing appears to graft DeepSeek/LLM language onto a broad adaptive-control survey without clear LLM multi-agent evidence.,4
507,EPM-RL: Reinforcement Learning for On-Premise Product Mapping in E-Commerce,Minhyeong Yu et al,2026,2604.23993,candidate,trend,"Debate, Reasoning, and Aggregation",arxiv:llm-multi-agent,0,0.92,https://arxiv.org/abs/2604.23993,2604.23993,papers_extra/multi-agent-triaged/0507_2604.23993,https://arxiv.org/pdf/2604.23993.pdf,papers_extra/multi-agent-triaged/0507_2604.23993/paper.pdf,present,627638,,https://arxiv.org/e-print/2604.23993,papers_extra/multi-agent-triaged/0507_2604.23993/source,present,,"Primarily a single-model e-commerce product-mapping/RL distillation paper; multi-agent content is incidental, the benchmark is internal/non-public, and the source retains ACM sample-template artifacts.",4
511,Self-Evolving Software Agents,Marco Robol et al,2026,2604.27264,candidate,trend,"Debate, Reasoning, and Aggregation",arxiv:llm-multi-agent,0,0.9,https://arxiv.org/abs/2604.27264,2604.27264,papers_extra/multi-agent-triaged/0511_2604.27264,https://arxiv.org/pdf/2604.27264.pdf,papers_extra/multi-agent-triaged/0511_2604.27264/paper.pdf,present,484819,,https://arxiv.org/e-print/2604.27264,papers_extra/multi-agent-triaged/0511_2604.27264/source,present,,Three-page architecture/prototype with only preliminary evaluation for broad self-evolving software-agent claims.,4
519,FGDM: Reasoning Aware Multi-Agentic Framework for Software Bug Detection using Chain of Thought and Tree of Thought Prompting,Srita Padmanabhuni et al,2026,2604.24831,candidate,trend,"Debate, Reasoning, and Aggregation",arxiv:llm-multi-agent,0,0.89,https://arxiv.org/abs/2604.24831,2604.24831,papers_extra/multi-agent-triaged/0519_2604.24831,https://arxiv.org/pdf/2604.24831.pdf,papers_extra/multi-agent-triaged/0519_2604.24831/paper.pdf,present,2851431,,https://arxiv.org/e-print/2604.24831,papers_extra/multi-agent-triaged/0519_2604.24831/source,present,,Prompted bug-detection pipeline; evaluation relies on 100 programs and edit/similarity proxies rather than validated bug-fix correctness.,4
524,Advancing AI-Scientist Understanding: Multi-Agent LLMs with Interpretable Physics Reasoning,Yinggan Xu et al,2025,2504.01911,candidate,trend,"Debate, Reasoning, and Aggregation",arxiv:ai-scientist,0,0.89,https://arxiv.org/abs/2504.01911,2504.01911,papers_extra/multi-agent-triaged/0524_2504.01911,https://arxiv.org/pdf/2504.01911.pdf,papers_extra/multi-agent-triaged/0524_2504.01911/paper.pdf,present,1864741,,https://arxiv.org/e-print/2504.01911,papers_extra/multi-agent-triaged/0524_2504.01911/source,present,,Mostly physics case-study/demo; no meaningful quantitative evaluation or baselines.,4
525,JCAS-MARL: Joint Communication and Sensing UAV Networks via Resource-Constrained Multi-Agent Reinforcement Learning,Islam Guven et al,2026,2603.20265,candidate,trend,"Debate, Reasoning, and Aggregation",arxiv:marl,0,0.88,https://arxiv.org/abs/2603.20265,2603.20265,papers_extra/multi-agent-triaged/0525_2603.20265,https://arxiv.org/pdf/2603.20265.pdf,papers_extra/multi-agent-triaged/0525_2603.20265/paper.pdf,present,5558820,,https://arxiv.org/e-print/2603.20265,papers_extra/multi-agent-triaged/0525_2603.20265/source,present,,Narrow UAV MARL paper with no LLM-agent connection and weak bridge value here.,4
526,A matching problem between two decoupled multi-agent systems with reference tracking capabilities,"Giuseppe Fedele, Luigi D’Alfonso, Boli Chen",2024,https://doi.org/10.1016/j.automatica.2024.112047,candidate,bridge,"Debate, Reasoning, and Aggregation",openalex:emergent-communication,7,0.92,https://doi.org/10.1016/j.automatica.2024.112047,,,,,unresolved,,,,,unavailable,,"Credible Automatica control paper, but quick Crossref/reference inspection shows conventional multi-agent control and matching, not LLM-driven or language-agent work; false positive for this corpus.",5
527,AI Agent for Education: von Neumann Multi-Agent System Framework,"Jiang, Yuan-Hao, Li, Ruijia, Zhou, Yizhou et al",2024,2501.00083,candidate,core,"Debate, Reasoning, and Aggregation",openalex:collaboration;openalex:debate,7,0.92,http://arxiv.org/abs/2501.00083,2501.00083,papers_extra/multi-agent-triaged/0527_2501.00083,https://arxiv.org/pdf/2501.00083.pdf,papers_extra/multi-agent-triaged/0527_2501.00083/paper.pdf,present,705223,,https://arxiv.org/e-print/2501.00083,papers_extra/multi-agent-triaged/0527_2501.00083/source,present,,Conceptual education MAS framework with no experiments or validation.,5
529,Enhancing participatory planning with ChatGPT-assisted planning support systems: a hypothetical case study in Seoul,"Steven Jige Quan, Seojung Lee",2025,https://doi.org/10.1080/12265934.2025.2462823,candidate,trend,"Debate, Reasoning, and Aggregation",openalex:web-agents,12,0.92,https://doi.org/10.1080/12265934.2025.2462823,,,,,unresolved,,,,,unavailable,,"Urban planning journal article about ChatGPT-assisted planning support, with no evidence from metadata/references of a multi-agent LLM system; low multi-agent specificity for this map.",4
530,Co-LLaVA: Efficient Remote Sensing Visual Question Answering via Model Collaboration,"Fan Liu, Wenwen Dai, Chuanyi Zhang et al",2025,https://doi.org/10.3390/rs17030466,candidate,trend,"Debate, Reasoning, and Aggregation",openalex:debate,4,0.92,https://doi.org/10.3390/rs17030466,,,,,unresolved,,,,,unavailable,,"Inspected abstract frames Co-LLaVA as LVLM plus contrastive captioner model collaboration that reduces cost versus multi-agent debate, not as a multi-agent LLM system; false positive.",4
536,ROSClaw: A Hierarchical Semantic-Physical Framework for Heterogeneous Multi-Agent Collaboration,Rongfeng Zhao et al,2026,2604.04664,candidate,trend,"Debate, Reasoning, and Aggregation",arxiv:collaboration,0,0.85,https://arxiv.org/abs/2604.04664,2604.04664,papers_extra/multi-agent-triaged/0536_2604.04664,https://arxiv.org/pdf/2604.04664.pdf,papers_extra/multi-agent-triaged/0536_2604.04664/paper.pdf,present,18289433,,https://arxiv.org/e-print/2604.04664,papers_extra/multi-agent-triaged/0536_2604.04664/source,present,,"Robotics framework supported mainly by illustrative heterogeneous-robot demos and rough time claims, without systematic baselines or reliability metrics.",4
538,Privacy-Preserving LLM Infrastructure With Multi-Agent Orchestration And RAG-Driven Retrieval,"Chirag Agarwal, Naresh Erukulla, Rachit Gupta",2026,https://doi.org/10.63278/jicrcr.vi.3596,candidate,trend,"Debate, Reasoning, and Aggregation",openalex:orchestration,0,0.85,https://doi.org/10.63278/jicrcr.vi.3596,,,,,unresolved,,,,,unavailable,,Quick DOI check shows a short generic 2026 OJS article in an off-topic crisis/risk communication journal with broad unverified claims and no visible rigorous multi-agent contribution.,4
540,An Intelligent LLM-Powered Personalized Assistant for Digital Banking Using LangGraph and Chain of Thoughts,"Arafat Md Easin, Saha Sourav, Orosz Tamás",2024,https://doi.org/10.1109/sisy62279.2024.10737601,candidate,core,"Debate, Reasoning, and Aggregation",openalex:mobile-agents;openalex:reasoning,20,0.92,https://doi.org/10.1109/sisy62279.2024.10737601,,,,,unresolved,,,,,unavailable,,Metadata describes a single personalized banking assistant using LangGraph and chain-of-thought rather than a multi-agent system; likely corpus noise from broad agent/workflow matching.,3
