rank,id,title,authors,year,status,role,sub_area,source,citation_count,confidence,url,arxiv_id,artifact_path,pdf_path,source_path,pdf_status,source_status,review_batch,decision,note
43,2507.07957,Mirix: Multi-agent memory system for llm-based agents,Wang et al,2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,curated-400;openalex:llm-mas,1,1.0,http://arxiv.org/abs/2507.07957,2507.07957,papers_extra/multi-agent-triaged/0043_2507.07957,papers_extra/multi-agent-triaged/0043_2507.07957/paper.pdf,papers_extra/multi-agent-triaged/0043_2507.07957/source,present,present,batch-01,keep,Retained after batch review.
44,2311.08562,"MAgIC: Investigation of Large Language Model Powered Multi-Agent in Cognition, Adaptability, Rationality and Collaboration",Xu et al,2023,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400;openalex:collaboration,6,1.0,https://doi.org/10.18653/v1/2024.emnlp-main.416,2311.08562,papers_extra/multi-agent-triaged/0044_2311.08562,papers_extra/multi-agent-triaged/0044_2311.08562/paper.pdf,papers_extra/multi-agent-triaged/0044_2311.08562/source,present,present,batch-01,keep,Retained after batch review.
45,2404.11943,AgentCoord: Coordination Strategies in Multi-Agent LLM Systems,Anderson et al,2024,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400;openalex:collaboration,6,1.0,http://arxiv.org/abs/2404.11943,2404.11943,papers_extra/multi-agent-triaged/0045_2404.11943,papers_extra/multi-agent-triaged/0045_2404.11943/paper.pdf,papers_extra/multi-agent-triaged/0045_2404.11943/source,present,present,batch-01,keep,Retained after batch review.
48,Extreme Mechanics Letters,"MechAgents: Large language model multi-agent collaborations can solve mechanics problems, generate new data, and integrate knowledge",Ni et al,2024,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400;openalex:collaboration,75,1.0,https://doi.org/10.1016/j.eml.2024.102131,,,,,unresolved,unavailable,batch-07,keep,DOI-backed Elsevier journal article with strong citation metadata and explicit LLM multi-agent scientific workflow; domain-specific but clearly relevant.
49,2405.14314,Towards efficient llm grounding for embodied multi-agent collaboration,Zhang et al,2024,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2405.14314,papers_extra/multi-agent-triaged/0049_2405.14314,papers_extra/multi-agent-triaged/0049_2405.14314/paper.pdf,papers_extra/multi-agent-triaged/0049_2405.14314/source,present,present,batch-01,keep,Retained after batch review.
50,Findings of the Association for Computational Linguistics: ACL 2025,MegaAgent: A large-scale autonomous LLM-based multi-agent system without predefined SOPs,Wang et al,2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,curated-400;openalex:llm-mas,7,1.0,https://doi.org/10.18653/v1/2025.findings-acl.259,,,,,unresolved,unavailable,batch-07,keep,"ACL Findings paper with DOI and official ACL Anthology record; direct LLM-MAS framework contribution, though claims need deeper rigor/cost review."
51,2503.03505,Parallelized Planning-Acting for Efficient LLM-based Multi-Agent Systems,Li et al,2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2503.03505,papers_extra/multi-agent-triaged/0051_2503.03505,papers_extra/multi-agent-triaged/0051_2503.03505/paper.pdf,papers_extra/multi-agent-triaged/0051_2503.03505/source,present,present,batch-01,keep,Retained after batch review.
52,2505.00212,Which Agent Causes Task Failures and When? On Automated Failure Attribution of LLM Multi-Agent Systems,Zhang et al,2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2505.00212,papers_extra/multi-agent-triaged/0052_2505.00212,papers_extra/multi-agent-triaged/0052_2505.00212/paper.pdf,papers_extra/multi-agent-triaged/0052_2505.00212/source,present,present,batch-01,keep,Retained after batch review.
53,2303.17580,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,Shen et al,2023,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2303.17580,papers_extra/multi-agent-triaged/0053_2303.17580,papers_extra/multi-agent-triaged/0053_2303.17580/paper.pdf,papers_extra/multi-agent-triaged/0053_2303.17580/source,present,present,batch-01,keep,Retained after batch review.
54,2303.16434,TaskMatrix.AI: Completing Tasks by Connecting Foundation Models with Millions of APIs,Liang et al,2023,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2303.16434,papers_extra/multi-agent-triaged/0054_2303.16434,papers_extra/multi-agent-triaged/0054_2303.16434/paper.pdf,papers_extra/multi-agent-triaged/0054_2303.16434/source,present,present,batch-01,keep,Retained after batch review.
55,1910.05789,On the Utility of Learning about Humans for Human-AI Coordination,Carroll et al,2019,candidate,core,LLM Multi-Agent Frameworks and Coordination,arxiv:human-ai-coordination;curated-400,0,1.0,https://arxiv.org/abs/1910.05789,1910.05789,papers_extra/multi-agent-triaged/0055_1910.05789,papers_extra/multi-agent-triaged/0055_1910.05789/paper.pdf,papers_extra/multi-agent-triaged/0055_1910.05789/source,present,present,batch-01,keep,Retained after batch review.
56,2401.14589,Enhancing diagnostic accuracy through multi-agent conversations: Using large language models to mitigate cognitive bias,Ke et al,2024,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400;openalex:medical-agents,5,1.0,http://arxiv.org/abs/2401.14589,2401.14589,papers_extra/multi-agent-triaged/0056_2401.14589,papers_extra/multi-agent-triaged/0056_2401.14589/paper.pdf,papers_extra/multi-agent-triaged/0056_2401.14589/source,present,present,batch-01,keep,Retained after batch review.
58,2410.08115,Optima: Optimizing Effectiveness and Efficiency for LLM-Based Multi-Agent System,Chen et al,2024,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400;openalex:llm-mas,6,1.0,https://doi.org/10.18653/v1/2025.findings-acl.601,2410.08115,papers_extra/multi-agent-triaged/0058_2410.08115,papers_extra/multi-agent-triaged/0058_2410.08115/paper.pdf,papers_extra/multi-agent-triaged/0058_2410.08115/source,present,present,batch-01,keep,Retained after batch review.
59,2410.14251,Synthesizing post-training data for llms through multi-agent simulation,Tang et al,2024,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2410.14251,papers_extra/multi-agent-triaged/0059_2410.14251,papers_extra/multi-agent-triaged/0059_2410.14251/paper.pdf,papers_extra/multi-agent-triaged/0059_2410.14251/source,present,present,batch-01,keep,Retained after batch review.
60,2308.04314,Cooperative Multi-agent Bandits: Distributed Algorithms with Optimal Individual Regret and Constant Communication Costs,Yang et al,2023,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2308.04314,papers_extra/multi-agent-triaged/0060_2308.04314,papers_extra/multi-agent-triaged/0060_2308.04314/paper.pdf,papers_extra/multi-agent-triaged/0060_2308.04314/source,present,present,batch-01,keep,Retained after batch review.
61,2311.11591,DesignGPT: Multi-Agent Collaboration in Design,Ding et al,2023,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2311.11591,papers_extra/multi-agent-triaged/0061_2311.11591,papers_extra/multi-agent-triaged/0061_2311.11591/paper.pdf,papers_extra/multi-agent-triaged/0061_2311.11591/source,present,present,batch-01,keep,Retained after batch review.
62,2405.08550,Learning multi-agent communication from graph modeling perspective,Hu et al,2024,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2405.08550,papers_extra/multi-agent-triaged/0062_2405.08550,papers_extra/multi-agent-triaged/0062_2405.08550/paper.pdf,papers_extra/multi-agent-triaged/0062_2405.08550/source,present,present,batch-01,keep,Retained after batch review.
63,EMNLP,LongAgent: Scaling Language Models to 128k Context through Multi-Agent Collaboration,Zhao et al,2024,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,,,,,unresolved,unavailable,batch-07,keep,"ArXiv/EMNLP-resolvable long-context multi-agent collaboration method; directly relevant to coordination and scaling, with enough substance for deeper review."
64,2502.02533,Multi-agent design: Optimizing agents with better prompts and topologies,Zhou et al,2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2502.02533,papers_extra/multi-agent-triaged/0064_2502.02533,papers_extra/multi-agent-triaged/0064_2502.02533/paper.pdf,papers_extra/multi-agent-triaged/0064_2502.02533/source,present,present,batch-01,keep,Retained after batch review.
65,2602.03053,MAS-ProVe: Understanding the Process Verification of Multi-Agent Systems,Venkataramani et al,2026,candidate,trend,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2602.03053,papers_extra/multi-agent-triaged/0065_2602.03053,papers_extra/multi-agent-triaged/0065_2602.03053/paper.pdf,papers_extra/multi-agent-triaged/0065_2602.03053/source,present,present,batch-01,keep,Retained after batch review.
75,2311.17371,Should We Be Going MAD? A Look at Multi-Agent Debate Strategies for LLMs,Smit et al,2023,candidate,core,"Debate, Reasoning, and Aggregation",curated-400;openalex:debate,4,1.0,http://arxiv.org/abs/2311.17371,2311.17371,papers_extra/multi-agent-triaged/0075_2311.17371,papers_extra/multi-agent-triaged/0075_2311.17371/paper.pdf,papers_extra/multi-agent-triaged/0075_2311.17371/source,present,present,batch-01,keep,Retained after batch review.
76,2404.17729,"CoMM: Collaborative Multi-Agent, Multi-Reasoning-Path Prompting for Complex Problem Solving",Chen et al,2024,candidate,core,"Debate, Reasoning, and Aggregation",curated-400;openalex:reasoning,13,1.0,https://doi.org/10.18653/v1/2024.findings-naacl.112,2404.17729,papers_extra/multi-agent-triaged/0076_2404.17729,papers_extra/multi-agent-triaged/0076_2404.17729/paper.pdf,papers_extra/multi-agent-triaged/0076_2404.17729/source,present,present,batch-01,keep,Retained after batch review.
77,NeurIPS 2024,MACM: Utilizing a Multi-Agent System for Condition Mining in Solving Complex Mathematical Problems,Lei et al,2024,candidate,core,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,,,,,unresolved,unavailable,batch-07,keep,"Confirmed NeurIPS 2024 main-track paper; directly uses multi-agent condition mining for math reasoning, so keep despite needing budget/single-agent scrutiny."
78,2305.11595,Examining Inter-Consistency of Large Language Models Collaboration: An In-depth Analysis via Debate,Xiong et al,2023,candidate,core,"Debate, Reasoning, and Aggregation",curated-400;local-bib,0,1.0,,2305.11595,papers_extra/multi-agent-triaged/0078_2305.11595,papers_extra/multi-agent-triaged/0078_2305.11595/paper.pdf,papers_extra/multi-agent-triaged/0078_2305.11595/source,present,present,batch-01,keep,Retained after batch review.
79,2303.09014,ART: Automatic Multi-Step Reasoning and Tool-Use for Large Language Models,Paranjape et al,2023,candidate,core,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,2303.09014,papers_extra/multi-agent-triaged/0079_2303.09014,papers_extra/multi-agent-triaged/0079_2303.09014/paper.pdf,papers_extra/multi-agent-triaged/0079_2303.09014/source,present,present,batch-01,keep,Retained after batch review.
80,2304.09842,Chameleon: Plug-and-Play Compositional Reasoning with Large Language Models,Lu et al,2023,candidate,core,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,2304.09842,papers_extra/multi-agent-triaged/0080_2304.09842,papers_extra/multi-agent-triaged/0080_2304.09842/paper.pdf,papers_extra/multi-agent-triaged/0080_2304.09842/source,present,present,batch-01,keep,Retained after batch review.
81,2304.12998,"ChatLLM Network: More Brains, More Intelligence",Hao et al,2023,candidate,core,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,2304.12998,papers_extra/multi-agent-triaged/0081_2304.12998,papers_extra/multi-agent-triaged/0081_2304.12998/paper.pdf,papers_extra/multi-agent-triaged/0081_2304.12998/source,present,present,batch-01,keep,Retained after batch review.
82,10.18653/v1/2023.acl-long.792,LLM-Blender: Ensembling Large Language Models with Pairwise Ranking and Generative Fusion,Jiang et al,2023,candidate,core,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,,,,,unresolved,unavailable,batch-07,keep,"ACL long paper and DOI-backed foundation for LLM ensembling/ranking; multi-agent specificity is weaker, but it is relevant to aggregation and debate-adjacent methods."
83,2309.13007,ReConcile: Round-Table Conference Improves Reasoning via Consensus among Diverse LLMs,Chen et al,2023,candidate,core,"Debate, Reasoning, and Aggregation",curated-400;openalex:debate;openalex:reasoning,34,1.0,https://doi.org/10.18653/v1/2024.acl-long.381,2309.13007,papers_extra/multi-agent-triaged/0083_2309.13007,papers_extra/multi-agent-triaged/0083_2309.13007/paper.pdf,papers_extra/multi-agent-triaged/0083_2309.13007/source,present,present,batch-01,keep,Retained after batch review.
84,2308.01862,Wider and Deeper LLM Networks Are Fairer LLM Evaluators,Zhang et al,2023,candidate,core,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,2308.01862,papers_extra/multi-agent-triaged/0084_2308.01862,papers_extra/multi-agent-triaged/0084_2308.01862/paper.pdf,papers_extra/multi-agent-triaged/0084_2308.01862/source,present,present,batch-01,keep,Retained after batch review.
85,10.1609/aaai.v38i16.29720,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,Besta et al,2024,watchlist,core,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,,,,,unresolved,unavailable,batch-07,keep,"AAAI/DOI-backed influential reasoning-framework paper; not strictly multi-agent, but important for graph/decomposition/aggregation baselines in agentic reasoning."
86,2508.17536,Debate or Vote: Which Yields Better Decisions in Multi-Agent Large Language Models?,Choi et al,2025,candidate,trend,"Debate, Reasoning, and Aggregation",arxiv:debate;curated-400,0,1.0,https://arxiv.org/abs/2508.17536,2508.17536,papers_extra/multi-agent-triaged/0086_2508.17536,papers_extra/multi-agent-triaged/0086_2508.17536/paper.pdf,papers_extra/multi-agent-triaged/0086_2508.17536/source,present,present,batch-01,keep,Retained after batch review.
87,Pacific-Asia Conference on Knowledge Discovery and Data Mining,Single-agent vs. multi-agent LLM strategies for automated student reflection assessment,Li et al,2025,candidate,trend,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,,,,,unresolved,unavailable,batch-07,keep,Resolvable 2025 arXiv/application paper comparing single-agent and multi-agent LLM assessment; narrow but useful as practical/negative evidence rather than obvious noise.
88,2310.00280,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,Sun et al,2023,candidate,core,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,2310.00280,papers_extra/multi-agent-triaged/0088_2310.00280,papers_extra/multi-agent-triaged/0088_2310.00280/paper.pdf,papers_extra/multi-agent-triaged/0088_2310.00280/source,present,present,batch-01,keep,Retained after batch review.
89,2205.00445,"MRKL Systems: A Modular, Neuro-Symbolic Architecture that Combines Large Language Models, External Knowledge Sources and Discrete Reasoning",Karpas et al,2022,candidate,core,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,2205.00445,papers_extra/multi-agent-triaged/0089_2205.00445,papers_extra/multi-agent-triaged/0089_2205.00445/paper.pdf,papers_extra/multi-agent-triaged/0089_2205.00445/source,present,present,batch-01,keep,Retained after batch review.
90,2303.08128,ViperGPT: Visual Inference via Python Execution for Reasoning,Suris et al,2023,candidate,core,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,2303.08128,papers_extra/multi-agent-triaged/0090_2303.08128,papers_extra/multi-agent-triaged/0090_2303.08128/paper.pdf,papers_extra/multi-agent-triaged/0090_2303.08128/source,present,present,batch-01,keep,Retained after batch review.
91,2023 IEEE 9th International Conference on Collaboration and Internet Computing (CIC),Enabling Synergistic Knowledge Sharing and Reasoning in Large Language Models with Collaborative Multi-Agents,Das et al,2023,candidate,core,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,,,,,unresolved,unavailable,batch-07,keep,"IEEE CIC venue and explicit collaborative multi-agent LLM reasoning topic; likely limited impact, but plausible and relevant enough to keep for deeper review."
92,2404.09127,Confidence Calibration and Rationalization for LLMs via Multi-Agent Deliberation,Yang et al,2024,candidate,core,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,2404.09127,papers_extra/multi-agent-triaged/0092_2404.09127,papers_extra/multi-agent-triaged/0092_2404.09127/paper.pdf,papers_extra/multi-agent-triaged/0092_2404.09127/source,present,present,batch-01,keep,Retained after batch review.
93,unknown,DebateGPT: Fine-tuning Large Language Models with Multi-agent Debate Supervision,Subramaniam et al,2024,watchlist,core,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,,,,,unresolved,unavailable,batch-07,keep,"Resolvable OpenReview ICLR 2024 submission using multi-agent debate for supervision; venue/status and claims are weak, but it is plausible debate literature rather than obvious noise."
94,2409.11527,Improving LLM Reasoning with Multi-Agent Tree-of-Thought Validator Agent,Haji et al,2024,candidate,core,"Debate, Reasoning, and Aggregation",arxiv:reasoning;curated-400,0,1.0,https://arxiv.org/abs/2409.11527,2409.11527,papers_extra/multi-agent-triaged/0094_2409.11527,papers_extra/multi-agent-triaged/0094_2409.11527/paper.pdf,papers_extra/multi-agent-triaged/0094_2409.11527/source,present,present,batch-01,keep,Retained after batch review.
95,2412.01928,Malt: Improving reasoning with multi-agent llm training,Motwani et al,2024,candidate,core,"Debate, Reasoning, and Aggregation",curated-400;openalex:reasoning,3,1.0,http://arxiv.org/abs/2412.01928,2412.01928,papers_extra/multi-agent-triaged/0095_2412.01928,papers_extra/multi-agent-triaged/0095_2412.01928/paper.pdf,papers_extra/multi-agent-triaged/0095_2412.01928/source,present,present,batch-01,keep,Retained after batch review.
96,Annual Meeting of the Association for Computational Linguistics (ACL),Rethinking the Bounds of LLM Reasoning: Are Multi-Agent Discussions the Key?,Wang et al,2024,candidate,core,"Debate, Reasoning, and Aggregation",curated-400;openalex:reasoning,26,1.0,https://doi.org/10.18653/v1/2024.acl-long.331,,,,,unresolved,unavailable,batch-07,keep,ACL 2024 DOI-backed paper with citations and direct analysis of multi-agent discussion for reasoning; highly relevant to when multi-agent helps.
97,2310.06272,Let models speak ciphers: Multiagent debate through embeddings,Pham et al,2023,candidate,core,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,2310.06272,papers_extra/multi-agent-triaged/0097_2310.06272,papers_extra/multi-agent-triaged/0097_2310.06272/paper.pdf,papers_extra/multi-agent-triaged/0097_2310.06272/source,present,present,batch-01,keep,Retained after batch review.
98,EMNLP Findings,Improving Multi-Agent Debate with Sparse Communication Topology,Li et al,2024,candidate,core,"Debate, Reasoning, and Aggregation",curated-400;local-bib;openalex:debate,7,1.0,https://doi.org/10.18653/v1/2024.findings-emnlp.427,,,,,unresolved,unavailable,batch-07,keep,EMNLP Findings DOI-backed debate/topology paper; directly addresses communication structure and multi-agent specificity.
