rank,id,title,status,coverage_status,review_batch,decision,note
14,2502.04180,Multi-Agent Architecture Search via Agentic Supernet,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
15,2505.19591,Multi-Agent Collaboration via Evolving Orchestration,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
16,2505.11765,OMAC: A Broad Optimization Framework for LLM-Based Multi-Agent Collaboration,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
17,2503.13657,Why Do Multi-Agent LLM Systems Fail?,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
18,2602.03794,Understanding Agent Scaling in LLM-Based Multi-Agent Systems via Diversity,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
19,OpenReview:LkzuPorQ5L,Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
20,2310.10701,Theory of Mind for Multi-Agent Collaboration via Large Language Models,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
21,2306.03314,Multi-Agent Collaboration: Harnessing the Power of Intelligent LLM Agents,watchlist,removed-low-quality,previous-canonical,remove,"Conceptual/case-study reframing of Auto-GPT/BabyAGI/Gorilla; no real experiments, baselines, or multi-agent evidence."
22,2510.05174,Emergent Coordination in Multi-Agent Language Models,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
23,2306.16092,ChatLaw: A Multi-Agent Collaborative Legal Assistant with Knowledge Graph Enhanced Mixture-of-Experts Large Language Model,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
24,2310.20151,Multi-Agent Consensus Seeking via Large Language Models,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
25,ACSOS-C 2023,Self-Adaptive Large Language Model (LLM)-Based Multiagent Systems,candidate,reviewed-retained,batch-07,keep,"IEEE/ACSOS companion and arXiv-resolvable early LLM-MAS self-adaptation work; likely limited rigor and evidence, but relevant enough for deeper corpus review."
26,2410.11782,G-Designer: Architecting Multi-agent Communication Topologies via Graph Neural Networks,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
27,OpenReview:H22e93wnMe,Multi-Agent Verification: Scaling Test-Time Compute with Goal Verifiers,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
28,ACL 2020,Multi-Agent Communication Meets Natural Language: Synergies Between Functional and Structural Language Learning,candidate,reviewed-retained,batch-07,keep,"Credible ACL foundation/bridge paper on emergent communication and natural language structure; not LLM-agent work, but useful background for multi-agent communication."
29,2308.10435,GPT-in-the-Loop: Adaptive Decision-Making for Multiagent Systems,candidate,removed-low-quality,batch-01,remove,Single smart-streetlight controller case study; broad GPT-in-the-loop MAS claims lack MAS-specific baselines or coordination analysis.
30,2403.19267,MineLand: Simulating Large-Scale Multi-Agent Interactions with Limited Multimodal Senses and Physical Needs,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
31,2406.05720,VillagerAgent: A Graph-Based Multi-Agent Framework for Coordinating Complex Task Dependencies in Minecraft,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
32,2310.06500,MetaAgents: Simulating Interactions of Human Behaviors for LLM-based Task-Oriented Coordination via Collaborative Generative Agents,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
33,2307.05300,Unleashing the Emergent Cognitive Synergy in Large Language Models: A Task-Solving Agent through Multi-Persona Self-Collaboration,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
34,2307.04738,RoCo: Dialectic Multi-Robot Collaboration with Large Language Models,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
35,2309.15943,Scalable Multi-Robot Collaboration with Large Language Models: Centralized or Decentralized Systems?,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
36,1812.09755,Learning when to Communicate at Scale in Multiagent Cooperative and Competitive Tasks,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
37,2310.07937,Co-NavGPT: Multi-Robot Cooperative Visual Semantic Navigation using Large Language Models,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
38,1910.07483,MAVEN: Multi-Agent Variational Exploration,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
39,2008.01062,QPLEX: Duplex Dueling Multi-Agent Q-Learning,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
40,2010.01523,RODE: Learning Roles to Decompose Multi-Agent Tasks,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
41,DOI:10.1017/S0269888900000205,Commitments and Conventions: The Foundation of Coordination in Multi-Agent Systems,candidate,reviewed-retained,batch-07,keep,"Classic coordination-foundations paper with clear relevance to commitments, conventions, and MAS theory; keep as foundational context despite age."
42,2508.08997,Intrinsic Memory Agents: Heterogeneous Multi-Agent LLM Systems through Structured Contextual Memory,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
43,2507.07957,Mirix: Multi-agent memory system for llm-based agents,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
44,2311.08562,"MAgIC: Investigation of Large Language Model Powered Multi-Agent in Cognition, Adaptability, Rationality and Collaboration",candidate,reviewed-retained,batch-01,keep,Retained after batch review.
45,2404.11943,AgentCoord: Coordination Strategies in Multi-Agent LLM Systems,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
46,Artificial Intelligence Insights,Emergent Behaviors in Multi-Agent LLM Collaboration,candidate,removed-low-quality,batch-07,remove,"Exact title and venue did not resolve to a credible paper source in quick lookup; generic title, zero citation metadata, no URL/DOI/artifact, and dubious source make it obvious corpus noise."
47,2401.01312,Llm harmony: Multi-agent communication for problem solving,candidate,removed-low-quality,previous-canonical,remove,"CAMEL/ChatDev-derived role-play system with weak benchmark handling, questionable comparisons, and no cost controls."
48,Extreme Mechanics Letters,"MechAgents: Large language model multi-agent collaborations can solve mechanics problems, generate new data, and integrate knowledge",candidate,reviewed-retained,batch-07,keep,DOI-backed Elsevier journal article with strong citation metadata and explicit LLM multi-agent scientific workflow; domain-specific but clearly relevant.
49,2405.14314,Towards efficient llm grounding for embodied multi-agent collaboration,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
50,Findings of the Association for Computational Linguistics: ACL 2025,MegaAgent: A large-scale autonomous LLM-based multi-agent system without predefined SOPs,candidate,reviewed-retained,batch-07,keep,"ACL Findings paper with DOI and official ACL Anthology record; direct LLM-MAS framework contribution, though claims need deeper rigor/cost review."
51,2503.03505,Parallelized Planning-Acting for Efficient LLM-based Multi-Agent Systems,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
52,2505.00212,Which Agent Causes Task Failures and When? On Automated Failure Attribution of LLM Multi-Agent Systems,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
53,2303.17580,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
54,2303.16434,TaskMatrix.AI: Completing Tasks by Connecting Foundation Models with Millions of APIs,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
55,1910.05789,On the Utility of Learning about Humans for Human-AI Coordination,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
56,2401.14589,Enhancing diagnostic accuracy through multi-agent conversations: Using large language models to mitigate cognitive bias,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
57,2411.14033,LLM-based Multi-Agent Systems: Techniques and Business Perspectives,candidate,removed-low-quality,previous-canonical,remove,Perspective/business-protocol piece rather than empirical research; broad ecosystem and monetization claims.
58,2410.08115,Optima: Optimizing Effectiveness and Efficiency for LLM-Based Multi-Agent System,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
59,2410.14251,Synthesizing post-training data for llms through multi-agent simulation,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
60,2308.04314,Cooperative Multi-agent Bandits: Distributed Algorithms with Optimal Individual Regret and Constant Communication Costs,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
61,2311.11591,DesignGPT: Multi-Agent Collaboration in Design,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
62,2405.08550,Learning multi-agent communication from graph modeling perspective,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
63,EMNLP,LongAgent: Scaling Language Models to 128k Context through Multi-Agent Collaboration,candidate,reviewed-retained,batch-07,keep,"ArXiv/EMNLP-resolvable long-context multi-agent collaboration method; directly relevant to coordination and scaling, with enough substance for deeper review."
64,2502.02533,Multi-agent design: Optimizing agents with better prompts and topologies,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
65,2602.03053,MAS-ProVe: Understanding the Process Verification of Multi-Agent Systems,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
66,2210.03629,ReAct: Synergizing Reasoning and Acting in Language Models,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
67,2305.19118,Encouraging Divergent Thinking in Large Language Models through Multi-Agent Debate,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
68,2305.14325,Improving Factuality and Reasoning through Multiagent Debate,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
69,2406.04692,Mixture-of-Agents Enhances Large Language Model Capabilities,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
70,2402.05120,More Agents Is All You Need,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
71,2505.20670,MIRROR: Multi-agent Intra- and Inter-Reflection for Optimized Reasoning in Tool Learning,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
72,2504.09772,Two Heads are Better Than One: Test-time Scaling of Multi-agent Collaborative Reasoning,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
73,2603.18718,MemMA: Coordinating Memory Cycle through Multi-Agent Reasoning,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
74,2604.02460,Single-Agent LLMs Outperform Multi-Agent Systems on Multi-Hop Reasoning,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
75,2311.17371,Should We Be Going MAD? A Look at Multi-Agent Debate Strategies for LLMs,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
76,2404.17729,"CoMM: Collaborative Multi-Agent, Multi-Reasoning-Path Prompting for Complex Problem Solving",candidate,reviewed-retained,batch-01,keep,Retained after batch review.
77,NeurIPS 2024,MACM: Utilizing a Multi-Agent System for Condition Mining in Solving Complex Mathematical Problems,candidate,reviewed-retained,batch-07,keep,"Confirmed NeurIPS 2024 main-track paper; directly uses multi-agent condition mining for math reasoning, so keep despite needing budget/single-agent scrutiny."
78,2305.11595,Examining Inter-Consistency of Large Language Models Collaboration: An In-depth Analysis via Debate,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
79,2303.09014,ART: Automatic Multi-Step Reasoning and Tool-Use for Large Language Models,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
80,2304.09842,Chameleon: Plug-and-Play Compositional Reasoning with Large Language Models,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
81,2304.12998,"ChatLLM Network: More Brains, More Intelligence",candidate,reviewed-retained,batch-01,keep,Retained after batch review.
82,10.18653/v1/2023.acl-long.792,LLM-Blender: Ensembling Large Language Models with Pairwise Ranking and Generative Fusion,candidate,reviewed-retained,batch-07,keep,"ACL long paper and DOI-backed foundation for LLM ensembling/ranking; multi-agent specificity is weaker, but it is relevant to aggregation and debate-adjacent methods."
83,2309.13007,ReConcile: Round-Table Conference Improves Reasoning via Consensus among Diverse LLMs,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
84,2308.01862,Wider and Deeper LLM Networks Are Fairer LLM Evaluators,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
85,10.1609/aaai.v38i16.29720,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,watchlist,reviewed-retained,batch-07,keep,"AAAI/DOI-backed influential reasoning-framework paper; not strictly multi-agent, but important for graph/decomposition/aggregation baselines in agentic reasoning."
86,2508.17536,Debate or Vote: Which Yields Better Decisions in Multi-Agent Large Language Models?,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
87,Pacific-Asia Conference on Knowledge Discovery and Data Mining,Single-agent vs. multi-agent LLM strategies for automated student reflection assessment,candidate,reviewed-retained,batch-07,keep,Resolvable 2025 arXiv/application paper comparing single-agent and multi-agent LLM assessment; narrow but useful as practical/negative evidence rather than obvious noise.
88,2310.00280,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
89,2205.00445,"MRKL Systems: A Modular, Neuro-Symbolic Architecture that Combines Large Language Models, External Knowledge Sources and Discrete Reasoning",candidate,reviewed-retained,batch-01,keep,Retained after batch review.
90,2303.08128,ViperGPT: Visual Inference via Python Execution for Reasoning,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
91,2023 IEEE 9th International Conference on Collaboration and Internet Computing (CIC),Enabling Synergistic Knowledge Sharing and Reasoning in Large Language Models with Collaborative Multi-Agents,candidate,reviewed-retained,batch-07,keep,"IEEE CIC venue and explicit collaborative multi-agent LLM reasoning topic; likely limited impact, but plausible and relevant enough to keep for deeper review."
92,2404.09127,Confidence Calibration and Rationalization for LLMs via Multi-Agent Deliberation,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
93,unknown,DebateGPT: Fine-tuning Large Language Models with Multi-agent Debate Supervision,watchlist,reviewed-retained,batch-07,keep,"Resolvable OpenReview ICLR 2024 submission using multi-agent debate for supervision; venue/status and claims are weak, but it is plausible debate literature rather than obvious noise."
94,2409.11527,Improving LLM Reasoning with Multi-Agent Tree-of-Thought Validator Agent,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
95,2412.01928,Malt: Improving reasoning with multi-agent llm training,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
96,Annual Meeting of the Association for Computational Linguistics (ACL),Rethinking the Bounds of LLM Reasoning: Are Multi-Agent Discussions the Key?,candidate,reviewed-retained,batch-07,keep,ACL 2024 DOI-backed paper with citations and direct analysis of multi-agent discussion for reasoning; highly relevant to when multi-agent helps.
97,2310.06272,Let models speak ciphers: Multiagent debate through embeddings,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
98,EMNLP Findings,Improving Multi-Agent Debate with Sparse Communication Topology,candidate,reviewed-retained,batch-07,keep,EMNLP Findings DOI-backed debate/topology paper; directly addresses communication structure and multi-agent specificity.
99,2312.04854,Learning to Break: Knowledge-Enhanced Reasoning in Multi-Agent Debate System,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
100,2601.15743,Materealize: a multi-agent deliberation system for end-to-end material design and synthesis,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
101,2310.08560,MemGPT: Towards LLMs as Operating Systems,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
102,2402.16823,GPTSwarm: Language Agents as Optimizable Graphs,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
103,2502.12110,A-MEM: Agentic Memory for LLM Agents,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
104,2502.05957,AutoAgent: A Fully-Automated and Zero-Code Framework for LLM Agents,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
105,2310.01444,Adapting LLM Agents Through Communication,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
106,2310.02124,Exploring Collaboration Mechanisms for LLM Agents: A Social Psychology View,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
107,2407.12784,AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
108,2307.02485,Building Cooperative Embodied Agents Modularly with Large Language Models,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
109,10.18653/v1/2023.emnlp-main.936,Exchange-of-Thought: Enhancing Large Language Model Capabilities through Cross-Model Communication,candidate,reviewed-retained,batch-07,keep,"EMNLP main DOI-backed cross-model communication paper; relevant to multi-agent/cross-agent reasoning and aggregation, though exact MAS framing needs deeper review."
110,2309.04658,Exploring Large Language Models for Communication Games: An Empirical Study on Werewolf,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
111,2310.09233,AgentCF: Collaborative Learning with Autonomous Language Agents for Recommender Systems,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
112,2309.07870,Agents: An Open-source Framework for Autonomous Language Agents,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
113,2310.17512,CompeteAI: Understanding the Competition Behaviors in Large Language Model-based Agents,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
114,2310.18940,Language Agents with Reinforcement Learning for Strategic Play in the Werewolf Game,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
115,2310.10634,OpenAgents: An Open Platform for Language Agents in the Wild,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
116,2308.11339,ProAgent: Building Proactive Cooperative AI with Large Language Models,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
117,2307.14984,S3: Social-network Simulation System with Large Language Model-empowered Agents,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
118,2311.13884,Controlling Large Language Model-based Agents for Large-Scale Decision-Making: An Actor-Critic Approach,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
119,2307.10337,Are You in a Masquerade? Exploring the Behavior and Impact of Large Language Model Driven Social Bots in Online Social Networks,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
120,2312.01454,D-Bot: Database Diagnosis System using Large Language Models,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
121,2305.18752,GPT4Tools: Teaching Large Language Model to Use Tools via Self-instruction,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
122,2305.15334,Gorilla: Large Language Model Connected with Massive APIs,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
123,2310.04406,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,watchlist,reviewed-retained,batch-01,keep,Retained after batch review.
124,2305.17126,Large Language Models as Tool Makers,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
125,2308.03313,Quantifying the Impact of Large Language Models on Collective Opinion Dynamics,candidate,removed-low-quality,previous-canonical,remove,"Opinion-dynamics model treats the LLM as an external scalar influence, not an LLM-driven MAS."
126,2306.06624,RestGPT: Connecting Large Language Models with Real-World RESTful APIs,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
127,2410.07706,AgentBank: Towards Generalized LLM Agents via Fine-Tuning on 50000+ Interaction Trajectories,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
128,OpenReview:z5uVAKwmjf,AFlow: Automating Agentic Workflow Generation,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
129,OpenReview:t9U3LW7JVX,Automated Design of Agentic Systems,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
130,2503.11301,GNNs as Predictors of Agentic Workflow Performances,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
131,2306.02552,RecAgent: A Novel Simulation Paradigm for Recommender Systems,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
132,2302.04761,Toolformer: Language Models Can Teach Themselves to Use Tools,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
133,2307.04986,Epidemic Modeling with Generative Agents,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
134,2309.11456,Generative Agent-Based Modeling: Unveiling Social System Dynamics through Coupling Mechanistic Models with Generative Artificial Intelligence,candidate,removed-low-quality,previous-canonical,remove,Generative agent-based modeling manifesto with toy norm-diffusion simulation; thin and superseded by stronger social-simulation artifacts.
135,2310.02172,Lyfe Agents: Generative Agents for Low-Cost Real-Time Social Interactions,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
136,2310.10108,On Generative Agents in Recommendation,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
137,2310.01320,Avalon's Game of Thoughts: Battle Against Deception through Recursive Contemplation,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
138,2306.05301,ToolAlpaca: Generalized Tool Learning for Language Models with 3000 Simulated Cases,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
139,EMNLP 2017,Deal or No Deal? End-to-End Learning of Negotiation Dialogues,candidate,reviewed-retained,batch-07,keep,Classic EMNLP negotiation-dialogue paper; foundational for language-agent negotiation and multi-agent interaction despite pre-LLM framing.
140,1709.04326,Learning with Opponent-Learning Awareness,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
141,EMNLP-IJCNLP 2019,Countering Language Drift via Visual Grounding,candidate,reviewed-retained,batch-07,keep,Credible EMNLP-IJCNLP emergent-communication paper; bridge relevance to language drift and grounded communication in agent interactions.
142,10.1145/3526113.3545616,Social Simulacra: Creating Populated Prototypes for Social Computing Systems,candidate,reviewed-retained,batch-07,keep,ACM DOI-backed social simulation/prototyping paper; strong bridge relevance for generative/social agent systems even if not an LLM-MAS method paper.
143,2512.20237,MemR$^3$: Memory Retrieval via Reflective Reasoning for LLM Agents,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
144,2508.19828,Memory-r1: Enhancing large language model agents to manage and utilize memories via reinforcement learning,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
145,2601.02553,SimpleMem: Efficient Lifelong Memory for LLM Agents,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
146,1706.02275,Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments (MADDPG),seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
147,1902.04043,The StarCraft Multi-Agent Challenge (SMAC),seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
148,2308.03688,AgentBench: Evaluating LLMs as Agents,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
149,2308.07201,ChatEval: Towards Better LLM-based Evaluators through Multi-Agent Debate,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
150,2311.12983,GAIA: a benchmark for General AI Assistants,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
151,2310.11667,SOTOPIA: Interactive Evaluation for Social Intelligence in Language Agents,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
152,2407.01502,AI Agents That Matter,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
153,2401.13178,AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
154,2406.12045,tau-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
155,2507.08616,AgentsNet: Coordination and Collaborative Reasoning in Multi-Agent LLMs,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
156,2502.20073,Collab-Overcooked: Benchmarking and Evaluating Large Language Models as Collaborative Agents,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
157,2503.01935,MultiAgentBench: Evaluating the Collaboration and Competition of LLM Agents,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
158,2310.03903,LLM-Coordination: Evaluating and Analyzing Multi-agent Coordination Abilities in Large Language Models,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
159,10.18653/v1/2024.acl-long.705,LLMArena: Assessing Capabilities of Large Language Models in Dynamic Multi-Agent Environments,candidate,reviewed-retained,batch-07,keep,ACL 2024 DOI-backed benchmark/evaluation paper for dynamic multi-agent environments; directly useful for corpus evaluation coverage.
160,openreview:2GmDdhBdDk,The Berkeley Function Calling Leaderboard: From Tool Use to Agentic Evaluation of Large Language Models,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
161,2308.05960,BOLAA: Benchmarking and Orchestrating LLM-augmented Autonomous Agents,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
162,2408.04682,"ToolSandbox: A Stateful, Conversational, Interactive Evaluation Benchmark for LLM Tool Use Capabilities",candidate,reviewed-retained,batch-01,keep,Retained after batch review.
163,2006.07869,Benchmarking Multi-Agent Deep Reinforcement Learning Algorithms in Cooperative Tasks,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
164,2304.08244,API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
165,2310.05036,From Text to Tactic: Evaluating LLMs Playing the Game of Avalon,candidate,reviewed-retained,batch-01,keep,Retained after batch review.
166,2404.06411,AgentQuest: A Modular Benchmark Framework to Measure Progress and Improve LLM Agents,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
167,2407.01725,DiscoveryBench: Towards Data-Driven Discovery with Large Language Models,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
168,2403.07974,LiveCodeBench: Holistic and Contamination Free Evaluation of Large Language Models for Code,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
169,2407.01231,MIRAI: Evaluating LLM Agents for Event Forecasting,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
170,1706.08502,Natural Language Does Not Emerge Naturally in Multi-Agent Dialog,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
171,1903.01373,AlphaRank: Multi-Agent Evaluation by Evolution,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
172,1903.00784,Neural MMO: A Massively Multiagent Game Environment for Training and Evaluating Intelligent Agents,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
173,2107.06857,Scalable Evaluation of Multi-Agent Reinforcement Learning with Melting Pot,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
174,2212.07489,SMACv2: An Improved Benchmark for Cooperative Multi-Agent Reinforcement Learning,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
175,2504.12516,BrowseComp: A Simple Yet Challenging Benchmark for Browsing Agents,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
