rank,id,title,status,coverage_status,review_batch,note
19,OpenReview:LkzuPorQ5L,Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
20,2310.10701,Theory of Mind for Multi-Agent Collaboration via Large Language Models,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
21,2306.03314,Multi-Agent Collaboration: Harnessing the Power of Intelligent LLM Agents,watchlist,previously-removed,,Already removed from manifest and recorded in removed-low-quality file.
22,2510.05174,Emergent Coordination in Multi-Agent Language Models,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
23,2306.16092,ChatLaw: A Multi-Agent Collaborative Legal Assistant with Knowledge Graph Enhanced Mixture-of-Experts Large Language Model,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
24,2310.20151,Multi-Agent Consensus Seeking via Large Language Models,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
25,ACSOS-C 2023,Self-Adaptive Large Language Model (LLM)-Based Multiagent Systems,candidate,assigned-for-review,batch-07.csv,Assigned to a review batch.
26,2410.11782,G-Designer: Architecting Multi-agent Communication Topologies via Graph Neural Networks,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
27,OpenReview:H22e93wnMe,Multi-Agent Verification: Scaling Test-Time Compute with Goal Verifiers,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
28,ACL 2020,Multi-Agent Communication Meets Natural Language: Synergies Between Functional and Structural Language Learning,candidate,assigned-for-review,batch-07.csv,Assigned to a review batch.
29,2308.10435,GPT-in-the-Loop: Adaptive Decision-Making for Multiagent Systems,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
30,2403.19267,MineLand: Simulating Large-Scale Multi-Agent Interactions with Limited Multimodal Senses and Physical Needs,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
31,2406.05720,VillagerAgent: A Graph-Based Multi-Agent Framework for Coordinating Complex Task Dependencies in Minecraft,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
32,2310.06500,MetaAgents: Simulating Interactions of Human Behaviors for LLM-based Task-Oriented Coordination via Collaborative Generative Agents,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
33,2307.05300,Unleashing the Emergent Cognitive Synergy in Large Language Models: A Task-Solving Agent through Multi-Persona Self-Collaboration,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
34,2307.04738,RoCo: Dialectic Multi-Robot Collaboration with Large Language Models,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
35,2309.15943,Scalable Multi-Robot Collaboration with Large Language Models: Centralized or Decentralized Systems?,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
36,1812.09755,Learning when to Communicate at Scale in Multiagent Cooperative and Competitive Tasks,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
37,2310.07937,Co-NavGPT: Multi-Robot Cooperative Visual Semantic Navigation using Large Language Models,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
38,1910.07483,MAVEN: Multi-Agent Variational Exploration,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
39,2008.01062,QPLEX: Duplex Dueling Multi-Agent Q-Learning,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
40,2010.01523,RODE: Learning Roles to Decompose Multi-Agent Tasks,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
41,DOI:10.1017/S0269888900000205,Commitments and Conventions: The Foundation of Coordination in Multi-Agent Systems,candidate,assigned-for-review,batch-07.csv,Assigned to a review batch.
42,2508.08997,Intrinsic Memory Agents: Heterogeneous Multi-Agent LLM Systems through Structured Contextual Memory,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
43,2507.07957,Mirix: Multi-agent memory system for llm-based agents,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
44,2311.08562,"MAgIC: Investigation of Large Language Model Powered Multi-Agent in Cognition, Adaptability, Rationality and Collaboration",candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
45,2404.11943,AgentCoord: Coordination Strategies in Multi-Agent LLM Systems,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
46,Artificial Intelligence Insights,Emergent Behaviors in Multi-Agent LLM Collaboration,candidate,assigned-for-review,batch-07.csv,Assigned to a review batch.
47,2401.01312,Llm harmony: Multi-agent communication for problem solving,candidate,previously-removed,,Already removed from manifest and recorded in removed-low-quality file.
48,Extreme Mechanics Letters,"MechAgents: Large language model multi-agent collaborations can solve mechanics problems, generate new data, and integrate knowledge",candidate,assigned-for-review,batch-07.csv,Assigned to a review batch.
49,2405.14314,Towards efficient llm grounding for embodied multi-agent collaboration,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
50,Findings of the Association for Computational Linguistics: ACL 2025,MegaAgent: A large-scale autonomous LLM-based multi-agent system without predefined SOPs,candidate,assigned-for-review,batch-07.csv,Assigned to a review batch.
51,2503.03505,Parallelized Planning-Acting for Efficient LLM-based Multi-Agent Systems,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
52,2505.00212,Which Agent Causes Task Failures and When? On Automated Failure Attribution of LLM Multi-Agent Systems,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
53,2303.17580,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
54,2303.16434,TaskMatrix.AI: Completing Tasks by Connecting Foundation Models with Millions of APIs,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
55,1910.05789,On the Utility of Learning about Humans for Human-AI Coordination,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
56,2401.14589,Enhancing diagnostic accuracy through multi-agent conversations: Using large language models to mitigate cognitive bias,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
57,2411.14033,LLM-based Multi-Agent Systems: Techniques and Business Perspectives,candidate,previously-removed,,Already removed from manifest and recorded in removed-low-quality file.
58,2410.08115,Optima: Optimizing Effectiveness and Efficiency for LLM-Based Multi-Agent System,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
59,2410.14251,Synthesizing post-training data for llms through multi-agent simulation,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
60,2308.04314,Cooperative Multi-agent Bandits: Distributed Algorithms with Optimal Individual Regret and Constant Communication Costs,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
61,2311.11591,DesignGPT: Multi-Agent Collaboration in Design,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
62,2405.08550,Learning multi-agent communication from graph modeling perspective,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
63,EMNLP,LongAgent: Scaling Language Models to 128k Context through Multi-Agent Collaboration,candidate,assigned-for-review,batch-07.csv,Assigned to a review batch.
64,2502.02533,Multi-agent design: Optimizing agents with better prompts and topologies,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
65,2602.03053,MAS-ProVe: Understanding the Process Verification of Multi-Agent Systems,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
66,2210.03629,ReAct: Synergizing Reasoning and Acting in Language Models,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
67,2305.19118,Encouraging Divergent Thinking in Large Language Models through Multi-Agent Debate,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
68,2305.14325,Improving Factuality and Reasoning through Multiagent Debate,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
69,2406.04692,Mixture-of-Agents Enhances Large Language Model Capabilities,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
70,2402.05120,More Agents Is All You Need,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
71,2505.20670,MIRROR: Multi-agent Intra- and Inter-Reflection for Optimized Reasoning in Tool Learning,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
72,2504.09772,Two Heads are Better Than One: Test-time Scaling of Multi-agent Collaborative Reasoning,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
73,2603.18718,MemMA: Coordinating Memory Cycle through Multi-Agent Reasoning,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
74,2604.02460,Single-Agent LLMs Outperform Multi-Agent Systems on Multi-Hop Reasoning,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
75,2311.17371,Should We Be Going MAD? A Look at Multi-Agent Debate Strategies for LLMs,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
76,2404.17729,"CoMM: Collaborative Multi-Agent, Multi-Reasoning-Path Prompting for Complex Problem Solving",candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
77,NeurIPS 2024,MACM: Utilizing a Multi-Agent System for Condition Mining in Solving Complex Mathematical Problems,candidate,assigned-for-review,batch-07.csv,Assigned to a review batch.
78,2305.11595,Examining Inter-Consistency of Large Language Models Collaboration: An In-depth Analysis via Debate,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
79,2303.09014,ART: Automatic Multi-Step Reasoning and Tool-Use for Large Language Models,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
80,2304.09842,Chameleon: Plug-and-Play Compositional Reasoning with Large Language Models,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
81,2304.12998,"ChatLLM Network: More Brains, More Intelligence",candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
82,10.18653/v1/2023.acl-long.792,LLM-Blender: Ensembling Large Language Models with Pairwise Ranking and Generative Fusion,candidate,assigned-for-review,batch-07.csv,Assigned to a review batch.
83,2309.13007,ReConcile: Round-Table Conference Improves Reasoning via Consensus among Diverse LLMs,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
84,2308.01862,Wider and Deeper LLM Networks Are Fairer LLM Evaluators,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
85,10.1609/aaai.v38i16.29720,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,watchlist,assigned-for-review,batch-07.csv,Assigned to a review batch.
86,2508.17536,Debate or Vote: Which Yields Better Decisions in Multi-Agent Large Language Models?,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
87,Pacific-Asia Conference on Knowledge Discovery and Data Mining,Single-agent vs. multi-agent LLM strategies for automated student reflection assessment,candidate,assigned-for-review,batch-07.csv,Assigned to a review batch.
88,2310.00280,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
89,2205.00445,"MRKL Systems: A Modular, Neuro-Symbolic Architecture that Combines Large Language Models, External Knowledge Sources and Discrete Reasoning",candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
90,2303.08128,ViperGPT: Visual Inference via Python Execution for Reasoning,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
91,2023 IEEE 9th International Conference on Collaboration and Internet Computing (CIC),Enabling Synergistic Knowledge Sharing and Reasoning in Large Language Models with Collaborative Multi-Agents,candidate,assigned-for-review,batch-07.csv,Assigned to a review batch.
92,2404.09127,Confidence Calibration and Rationalization for LLMs via Multi-Agent Deliberation,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
93,unknown,DebateGPT: Fine-tuning Large Language Models with Multi-agent Debate Supervision,watchlist,assigned-for-review,batch-07.csv,Assigned to a review batch.
94,2409.11527,Improving LLM Reasoning with Multi-Agent Tree-of-Thought Validator Agent,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
95,2412.01928,Malt: Improving reasoning with multi-agent llm training,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
96,Annual Meeting of the Association for Computational Linguistics (ACL),Rethinking the Bounds of LLM Reasoning: Are Multi-Agent Discussions the Key?,candidate,assigned-for-review,batch-07.csv,Assigned to a review batch.
97,2310.06272,Let models speak ciphers: Multiagent debate through embeddings,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
98,EMNLP Findings,Improving Multi-Agent Debate with Sparse Communication Topology,candidate,assigned-for-review,batch-07.csv,Assigned to a review batch.
99,2312.04854,Learning to Break: Knowledge-Enhanced Reasoning in Multi-Agent Debate System,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
100,2601.15743,Materealize: a multi-agent deliberation system for end-to-end material design and synthesis,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
101,2310.08560,MemGPT: Towards LLMs as Operating Systems,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
102,2402.16823,GPTSwarm: Language Agents as Optimizable Graphs,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
103,2502.12110,A-MEM: Agentic Memory for LLM Agents,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
104,2502.05957,AutoAgent: A Fully-Automated and Zero-Code Framework for LLM Agents,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
105,2310.01444,Adapting LLM Agents Through Communication,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
106,2310.02124,Exploring Collaboration Mechanisms for LLM Agents: A Social Psychology View,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
107,2407.12784,AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
108,2307.02485,Building Cooperative Embodied Agents Modularly with Large Language Models,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
109,10.18653/v1/2023.emnlp-main.936,Exchange-of-Thought: Enhancing Large Language Model Capabilities through Cross-Model Communication,candidate,assigned-for-review,batch-07.csv,Assigned to a review batch.
110,2309.04658,Exploring Large Language Models for Communication Games: An Empirical Study on Werewolf,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
111,2310.09233,AgentCF: Collaborative Learning with Autonomous Language Agents for Recommender Systems,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
112,2309.07870,Agents: An Open-source Framework for Autonomous Language Agents,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
113,2310.17512,CompeteAI: Understanding the Competition Behaviors in Large Language Model-based Agents,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
114,2310.18940,Language Agents with Reinforcement Learning for Strategic Play in the Werewolf Game,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
115,2310.10634,OpenAgents: An Open Platform for Language Agents in the Wild,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
116,2308.11339,ProAgent: Building Proactive Cooperative AI with Large Language Models,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
117,2307.14984,S3: Social-network Simulation System with Large Language Model-empowered Agents,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
118,2311.13884,Controlling Large Language Model-based Agents for Large-Scale Decision-Making: An Actor-Critic Approach,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
119,2307.10337,Are You in a Masquerade? Exploring the Behavior and Impact of Large Language Model Driven Social Bots in Online Social Networks,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
120,2312.01454,D-Bot: Database Diagnosis System using Large Language Models,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
121,2305.18752,GPT4Tools: Teaching Large Language Model to Use Tools via Self-instruction,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
122,2305.15334,Gorilla: Large Language Model Connected with Massive APIs,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
123,2310.04406,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,watchlist,assigned-for-review,batch-01.csv,Assigned to a review batch.
124,2305.17126,Large Language Models as Tool Makers,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
125,2308.03313,Quantifying the Impact of Large Language Models on Collective Opinion Dynamics,candidate,previously-removed,,Already removed from manifest and recorded in removed-low-quality file.
126,2306.06624,RestGPT: Connecting Large Language Models with Real-World RESTful APIs,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
127,2410.07706,AgentBank: Towards Generalized LLM Agents via Fine-Tuning on 50000+ Interaction Trajectories,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
128,OpenReview:z5uVAKwmjf,AFlow: Automating Agentic Workflow Generation,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
129,OpenReview:t9U3LW7JVX,Automated Design of Agentic Systems,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
130,2503.11301,GNNs as Predictors of Agentic Workflow Performances,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
131,2306.02552,RecAgent: A Novel Simulation Paradigm for Recommender Systems,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
132,2302.04761,Toolformer: Language Models Can Teach Themselves to Use Tools,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
133,2307.04986,Epidemic Modeling with Generative Agents,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
134,2309.11456,Generative Agent-Based Modeling: Unveiling Social System Dynamics through Coupling Mechanistic Models with Generative Artificial Intelligence,candidate,previously-removed,,Already removed from manifest and recorded in removed-low-quality file.
135,2310.02172,Lyfe Agents: Generative Agents for Low-Cost Real-Time Social Interactions,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
136,2310.10108,On Generative Agents in Recommendation,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
137,2310.01320,Avalon's Game of Thoughts: Battle Against Deception through Recursive Contemplation,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
138,2306.05301,ToolAlpaca: Generalized Tool Learning for Language Models with 3000 Simulated Cases,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
139,EMNLP 2017,Deal or No Deal? End-to-End Learning of Negotiation Dialogues,candidate,assigned-for-review,batch-07.csv,Assigned to a review batch.
140,1709.04326,Learning with Opponent-Learning Awareness,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
141,EMNLP-IJCNLP 2019,Countering Language Drift via Visual Grounding,candidate,assigned-for-review,batch-07.csv,Assigned to a review batch.
142,10.1145/3526113.3545616,Social Simulacra: Creating Populated Prototypes for Social Computing Systems,candidate,assigned-for-review,batch-07.csv,Assigned to a review batch.
143,2512.20237,MemR$^3$: Memory Retrieval via Reflective Reasoning for LLM Agents,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
144,2508.19828,Memory-r1: Enhancing large language model agents to manage and utilize memories via reinforcement learning,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
145,2601.02553,SimpleMem: Efficient Lifelong Memory for LLM Agents,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
146,1706.02275,Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments (MADDPG),seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
147,1902.04043,The StarCraft Multi-Agent Challenge (SMAC),seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
148,2308.03688,AgentBench: Evaluating LLMs as Agents,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
149,2308.07201,ChatEval: Towards Better LLM-based Evaluators through Multi-Agent Debate,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
150,2311.12983,GAIA: a benchmark for General AI Assistants,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
151,2310.11667,SOTOPIA: Interactive Evaluation for Social Intelligence in Language Agents,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
152,2407.01502,AI Agents That Matter,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
153,2401.13178,AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
154,2406.12045,tau-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
155,2507.08616,AgentsNet: Coordination and Collaborative Reasoning in Multi-Agent LLMs,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
156,2502.20073,Collab-Overcooked: Benchmarking and Evaluating Large Language Models as Collaborative Agents,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
157,2503.01935,MultiAgentBench: Evaluating the Collaboration and Competition of LLM Agents,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
158,2310.03903,LLM-Coordination: Evaluating and Analyzing Multi-agent Coordination Abilities in Large Language Models,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
159,10.18653/v1/2024.acl-long.705,LLMArena: Assessing Capabilities of Large Language Models in Dynamic Multi-Agent Environments,candidate,assigned-for-review,batch-07.csv,Assigned to a review batch.
160,openreview:2GmDdhBdDk,The Berkeley Function Calling Leaderboard: From Tool Use to Agentic Evaluation of Large Language Models,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
161,2308.05960,BOLAA: Benchmarking and Orchestrating LLM-augmented Autonomous Agents,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
162,2408.04682,"ToolSandbox: A Stateful, Conversational, Interactive Evaluation Benchmark for LLM Tool Use Capabilities",candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
163,2006.07869,Benchmarking Multi-Agent Deep Reinforcement Learning Algorithms in Cooperative Tasks,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
164,2304.08244,API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
165,2310.05036,From Text to Tactic: Evaluating LLMs Playing the Game of Avalon,candidate,assigned-for-review,batch-01.csv,Assigned to a review batch.
166,2404.06411,AgentQuest: A Modular Benchmark Framework to Measure Progress and Improve LLM Agents,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
167,2407.01725,DiscoveryBench: Towards Data-Driven Discovery with Large Language Models,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
168,2403.07974,LiveCodeBench: Holistic and Contamination Free Evaluation of Large Language Models for Code,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
169,2407.01231,MIRAI: Evaluating LLM Agents for Event Forecasting,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
170,1706.08502,Natural Language Does Not Emerge Naturally in Multi-Agent Dialog,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
171,1903.01373,AlphaRank: Multi-Agent Evaluation by Evolution,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
172,1903.00784,Neural MMO: A Massively Multiagent Game Environment for Training and Evaluating Intelligent Agents,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
173,2107.06857,Scalable Evaluation of Multi-Agent Reinforcement Learning with Melting Pot,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
174,2212.07489,SMACv2: An Improved Benchmark for Cooperative Multi-Agent Reinforcement Learning,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
175,2504.12516,BrowseComp: A Simple Yet Challenging Benchmark for Browsing Agents,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
176,2307.16789,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
177,2406.04151,AgentGym: Evolving Large Language Model-based Agents across Diverse Environments,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
178,2410.18792,An LLM Agent for Automatic Geospatial Data Analysis,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
179,2410.07095,MLE-bench: Evaluating Machine Learning Agents on Machine Learning Engineering,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
